 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.023085   -0.000004    0.000087 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.020623     -0.000000      0.000287      1.8470      671.27
     2     -0.014579      0.000011      0.000284      1.8831      658.40
     3      0.000179      0.000001      0.000253      1.9403      639.00
     4     -0.020619      0.000031     -0.000104      1.9537      634.61
     5     -0.025309     -0.000014     -0.000106      1.9538      634.58
     6     -0.021587      0.000003     -0.000113      1.9733      628.31
     7     -0.023979     -0.000003      0.000013      1.9905      622.88
     8     -0.015708     -0.000025     -0.000155      1.9909      622.75
     9      0.013806     -0.000043      0.000246      2.0146      615.43
    10     -0.047087     -0.000088     -0.000023      2.0496      604.92
    11     -0.012360      0.000036     -0.000062      2.0497      604.89
    12     -0.068965      0.000018      0.000314      2.0996      590.51
    13      0.116492      0.000019      0.000012      2.1107      587.41
    14     -0.015035     -0.000021      0.000708      2.1274      582.80
    15     -0.116562     -0.000037      0.000410      2.1311      581.78
    16     -0.019733     -0.000006      0.000449      2.1933      565.29
    17     -0.010108     -0.000010     -0.000035      2.2154      559.65
    18     -0.022754     -0.000017      0.000179      2.2209      558.26
    19     -0.059884     -0.000032      0.000226      2.2467      551.85
    20     -0.028308     -0.000035      0.000203      2.2876      541.98
