 Ground state dipole moment in X,Y,Z:   -0.023085   -0.000004    0.000087 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0071870    -0.0000521    -0.0000958     1.84700     0.00000
     0     2    -0.0002159     0.0087989    -1.2366989     1.88310     0.07056
     0     3     0.0094993     0.0000177    -0.0000872     1.94030     0.00000
     0     4    -0.0009352     0.1256904     1.8961048     1.95370     0.17284
     0     5     0.1307179     0.0010798    -0.0024095     1.95380     0.00082
     0     6    -0.0001107     0.0117146    26.3607156     1.97330    33.59431
     0     7     0.1960815     0.0002932     0.0015604     1.99050     0.00188
     0     8    -0.0003069     0.1652338     1.5896212     1.99090     0.12458
     0     9     0.0000968     0.0227875     1.2662535     2.01460     0.07916
     0    10     0.0017948    -0.3390403     1.0105111     2.04960     0.05705
     0    11    -0.3628872    -0.0014409     0.0006014     2.04970     0.00661
     0    12    -0.0519522     0.0001804    -0.0001327     2.09960     0.00014
     0    13    -0.2897394    -0.0000411    -0.0003328     2.11070     0.00434
     0    14     0.0003202    -0.2342337    -0.1597600     2.12740     0.00419
     0    15     0.1825503     0.0004813     0.0004880     2.13110     0.00174
     0    16     0.0001293    -0.0099435     0.3584166     2.19330     0.00691
     0    17    -0.0006480     0.5085207     1.4968775     2.21540     0.13565
     0    18    -0.5954358    -0.0009239     0.0003363     2.22090     0.01929
     0    19    -0.0005650     0.1995510    -4.1782300     2.24670     0.96311
     0    20    -0.0145301     0.0000066     0.0002246     2.28760     0.00001
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0206230    -0.0000003     0.0002808     0.00000     0.00000
     1     2    -0.0000067    -0.0011680     0.4942953     0.03610     0.00022
     1     3     0.0080671     0.0000135    -0.0000903     0.09330     0.00000
     1     4     0.0001762    -0.0490190     0.0223560     0.10670     0.00001
     1     5    -0.0484054    -0.0002161     0.0003957     0.10680     0.00001
     1     6    -0.0000213    -0.0146229     0.0428539     0.12630     0.00001
     1     7     0.1160790     0.0001016     0.0002346     0.14350     0.00005
     1     8    -0.0000790     0.1138027     0.0953460     0.14390     0.00008
     1     9     0.0000166    -0.0060421     0.1453460     0.16760     0.00009
     1    10    -0.0001984     0.0887389    -0.0633590     0.20260     0.00006
     1    11     0.0889541     0.0001690    -0.0001811     0.20270     0.00004
     1    12    -0.0029172     0.0000196    -0.0000684     0.25260     0.00000
     1    13    -0.0735748    -0.0000263    -0.0003324     0.26370     0.00003
     1    14     0.0000552    -0.1562191    -0.1129049     0.28040     0.00026
     1    15     0.1397718     0.0000462    -0.0002506     0.28410     0.00014
     1    16    -0.0000040     0.0019955     0.0087536     0.34630     0.00000
     1    17     0.0000505    -0.0563605     0.1443985     0.36840     0.00022
     1    18     0.0580027     0.0000684     0.0001480     0.37390     0.00003
     1    19     0.0000087    -0.0044957    -0.0388231     0.39970     0.00001
     1    20     0.0028520    -0.0000117    -0.0000995     0.44060     0.00000
     2     2    -0.0145793     0.0000108     0.0002772     0.00000     0.00000
     2     3     0.0000120    -0.0008492     0.6309945     0.05720     0.00056
     2     4     0.1171408     0.0003921     0.0003335     0.07060     0.00002
     2     5     0.0003813    -0.1153546    -0.0821194     0.07070     0.00003
     2     6     0.0012062    -0.0000313     0.0001402     0.09020     0.00000
     2     7     0.0001599    -0.1431578     0.0811163     0.10740     0.00007
     2     8     0.1439653     0.0001754    -0.0004036     0.10780     0.00005
     2     9     0.0177106     0.0000112    -0.0000464     0.13150     0.00000
     2    10    -0.2734092    -0.0005388    -0.0004291     0.16650     0.00030
     2    11    -0.0005454     0.2727355     0.2098239     0.16660     0.00048
     2    12    -0.0000161     0.0039663     0.1542013     0.21650     0.00013
     2    13    -0.0000451     0.0779105    -0.0402421     0.22760     0.00004
     2    14    -0.1473777    -0.0000380     0.0002199     0.24430     0.00013
     2    15     0.0000338    -0.1219222     0.1778274     0.24800     0.00028
     2    16    -0.0080792     0.0000172     0.0000917     0.31020     0.00000
     2    17     0.2724146     0.0001779     0.0003604     0.33230     0.00060
     2    18    -0.0002245     0.2935244     0.1855424     0.33780     0.00100
     2    19     0.1202313     0.0000523    -0.0004444     0.36360     0.00013
     2    20     0.0000253    -0.0017115    -0.0590762     0.40450     0.00003
     3     3     0.0001789     0.0000006     0.0002462     0.00000     0.00000
     3     4     0.0003971    -0.1031475     0.0649013     0.01340     0.00000
     3     5    -0.1015992    -0.0003532     0.0002809     0.01350     0.00000
     3     6    -0.0000175    -0.0366360    -0.0402063     0.03300     0.00000
     3     7     0.2780084     0.0002883     0.0001916     0.05020     0.00010
     3     8    -0.0002921     0.2720645     0.2296192     0.05060     0.00016
     3     9     0.0000161    -0.0124566     0.6188449     0.07430     0.00070
     3    10    -0.0003989     0.2046569    -0.1535242     0.10930     0.00018
     3    11     0.2048039     0.0004408    -0.0005496     0.10940     0.00011
     3    12    -0.0052722    -0.0000029    -0.0000270     0.15930     0.00000
     3    13    -0.1982549    -0.0000245     0.0001674     0.17040     0.00016
     3    14     0.0000933    -0.4114478    -0.2943321     0.18710     0.00117
     3    15     0.3659356     0.0000817     0.0001036     0.19080     0.00063
     3    16    -0.0000144     0.0027482    -0.1209223     0.25300     0.00009
     3    17     0.0000729    -0.1451300     0.2102075     0.27510     0.00044
     3    18     0.1475829     0.0000393    -0.0003193     0.28060     0.00015
     3    19     0.0000209    -0.0052248     0.2708645     0.30640     0.00055
     3    20     0.0072913    -0.0000153    -0.0002463     0.34730     0.00000
     4     4    -0.0206187     0.0000309    -0.0001108     0.00000     0.00000
     4     5     0.0000230    -0.0022685     0.0049254     0.00010     0.00000
     4     6    -0.0014526    -0.0000166    -0.0004376     0.01960     0.00000
     4     7    -0.0000280     0.0008638     0.6951444     0.03680     0.00044
     4     8     0.0021211    -0.0000124     0.0018349     0.03720     0.00000
     4     9     0.1657449     0.0005906     0.0002462     0.06090     0.00004
     4    10     0.0020524    -0.0000091     0.0002716     0.09590     0.00000
     4    11    -0.0000120    -0.0003884    -0.0358420     0.09600     0.00000
     4    12     0.0003989    -0.0955775     0.0522466     0.14590     0.00004
     4    13    -0.0000646     0.0197460    -0.1628849     0.15700     0.00010
     4    14     0.0003944     0.0000622    -0.0005202     0.17370     0.00000
     4    15    -0.0000837     0.0068696     0.1489487     0.17740     0.00010
     4    16    -0.1671611    -0.0006027    -0.0002219     0.23960     0.00016
     4    17     0.0075715     0.0000332    -0.0000489     0.26170     0.00000
     4    18     0.0000075     0.0006358    -0.0197424     0.26720     0.00000
     4    19    -0.0243619    -0.0000876    -0.0001366     0.29300     0.00000
     4    20     0.0003158    -0.0700162     0.1083532     0.33390     0.00014
     5     5    -0.0253092    -0.0000140    -0.0001128     0.00000     0.00000
     5     6    -0.0000270     0.0010752     0.0601173     0.01950     0.00000
     5     7     0.0057720     0.0000066     0.0017558     0.03670     0.00000
     5     8     0.0000079     0.0025711    -0.6847785     0.03710     0.00043
     5     9     0.0006172    -0.1625436    -0.0976196     0.06080     0.00005
     5    10     0.0000102    -0.0020177     0.0207228     0.09580     0.00000
     5    11    -0.0005142    -0.0000059     0.0000759     0.09590     0.00000
     5    12    -0.0951106    -0.0003988     0.0000249     0.14580     0.00003
     5    13     0.0157877     0.0000855    -0.0003258     0.15690     0.00000
     5    14     0.0000167    -0.0065998     0.2015410     0.17360     0.00017
     5    15     0.0121714     0.0000348     0.0004186     0.17730     0.00000
     5    16    -0.0006376     0.1628677     0.0847174     0.23950     0.00020
     5    17     0.0000372    -0.0073444    -0.0113212     0.26160     0.00000
     5    18     0.0003531    -0.0000221    -0.0000320     0.26710     0.00000
     5    19    -0.0000771     0.0243160    -0.0189672     0.29290     0.00001
     5    20    -0.0714940    -0.0002676     0.0003809     0.33380     0.00004
     6     6    -0.0215874     0.0000029    -0.0001190     0.00000     0.00000
     6     7    -0.0000049     0.0147242     0.0423302     0.01720     0.00000
     6     8    -0.0152352    -0.0000067    -0.0002492     0.01760     0.00000
     6     9     0.0099528    -0.0000375    -0.0001110     0.04130     0.00000
     6    10     0.0096777     0.0000260     0.0003832     0.07630     0.00000
     6    11     0.0000281    -0.0100674    -0.1465509     0.07640     0.00004
     6    12    -0.0000198    -0.0381512    -0.2859151     0.12630     0.00026
     6    13     0.0000154     0.0018960    -0.7168726     0.13740     0.00173
     6    14     0.0192987     0.0000140    -0.0000762     0.15410     0.00000
     6    15    -0.0000013     0.0194103    -0.3215282     0.15780     0.00040
     6    16    -0.0195364     0.0000504    -0.0000321     0.22000     0.00000
     6    17    -0.0168719    -0.0000312     0.0002351     0.24210     0.00000
     6    18    -0.0000039    -0.0193480    -0.0317648     0.24760     0.00001
     6    19    -0.0128311    -0.0000148    -0.0002344     0.27340     0.00000
     6    20    -0.0000016    -0.0180732    -0.0006470     0.31430     0.00000
     7     7    -0.0239787    -0.0000035     0.0000066     0.00000     0.00000
     7     8    -0.0000074    -0.0041783    -0.0013367     0.00040     0.00000
     7     9     0.0002020    -0.1811164     0.1567534     0.02410     0.00003
     7    10     0.0000387    -0.0075967    -0.8506500     0.05910     0.00105
     7    11     0.0001689    -0.0000070    -0.0007353     0.05920     0.00000
     7    12     0.3014647     0.0003193     0.0002145     0.10910     0.00024
     7    13    -0.0955108    -0.0001043     0.0002313     0.12020     0.00003
     7    14    -0.0000209     0.0051760     0.0589611     0.13690     0.00001
     7    15    -0.0378842    -0.0000508     0.0003420     0.14060     0.00000
     7    16    -0.0001966     0.1338032    -0.1708397     0.20280     0.00023
     7    17     0.0000015     0.0043532     0.2233624     0.22490     0.00027
     7    18    -0.0002801     0.0000073     0.0000992     0.23040     0.00000
     7    19     0.0000074    -0.0021129     0.0384536     0.25620     0.00001
     7    20     0.2872969     0.0003340     0.0000733     0.29710     0.00060
     8     8    -0.0157076    -0.0000254    -0.0001614     0.00000     0.00000
     8     9     0.1831991     0.0001960    -0.0000748     0.02370     0.00002
     8    10    -0.0001580     0.0000102    -0.0008821     0.05870     0.00000
     8    11    -0.0000216     0.0080285     0.8567133     0.05880     0.00106
     8    12    -0.0003563     0.2937897     0.1755942     0.10870     0.00031
     8    13     0.0001231    -0.0913414    -0.1116206     0.11980     0.00006
     8    14    -0.0078481     0.0000070     0.0000670     0.13650     0.00000
     8    15     0.0000263    -0.0387879     0.0228109     0.14020     0.00001
     8    16    -0.1384972    -0.0001883     0.0001432     0.20240     0.00010
     8    17     0.0033121    -0.0000046    -0.0000533     0.22450     0.00000
     8    18    -0.0000070     0.0085593     0.2401769     0.23000     0.00033
