 Ground state dipole moment in X,Y,Z:    0.000000   -0.000000   -0.660956 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.0000000    -0.0000000     4.81470     0.00000
     0     2     0.0000000     0.5910406    -0.0000000     6.53870     0.05596
     0     3     0.0000000     0.3420917    -0.0000000     7.33180     0.02102
     0     4    -0.0000000     0.0000000    -0.5420571     7.47830     0.05383
     0     5     0.0000000    -0.0000000     0.0000000     7.99180     0.00000
     0     6    -0.0000000     0.9029711     0.0000000    10.25810     0.20491
     0     7    -0.0000000    -0.0786730     0.0000000    10.93800     0.00166
     0     8     0.0159595     0.0000000     0.0000000    10.96850     0.00007
     0     9    -0.0000000     0.0000000     0.1179054    11.27420     0.00384
     0    10    -0.0000000    -0.0000000    -0.0000000    11.90950     0.00000
     0    11    -0.3717134    -0.0000000    -0.0000000    12.03310     0.04073
     0    12    -0.0000000     0.0000000    -0.0000000    12.14810     0.00000
     0    13    -0.0000000    -0.0000000    -0.1540333    12.31060     0.00716
     0    14    -0.0000000     0.0000000    -0.6844050    12.50390     0.14349
     0    15     0.2790591    -0.0000000    -0.0000000    12.90510     0.02462
     0    16    -0.0000000     0.0000000     0.0000000    12.92570     0.00000
     0    17     0.0000000    -0.0000000     1.0697278    13.07040     0.36643
     0    18    -0.0000000    -0.4028080     0.0000000    13.40510     0.05329
     0    19     0.0000000     0.0000000     0.3403707    13.42780     0.03811
     0    20     0.0000000    -0.2975009    -0.0000000    13.48010     0.02923
     0    21     0.0000000     0.0000000    -0.5800458    13.82130     0.11393
     0    22     0.0000000    -0.5330294     0.0000000    13.93610     0.09701
     0    23    -0.2717418     0.0000000    -0.0000000    14.05740     0.02543
     0    24    -0.0000000     0.2214544     0.0000000    14.81730     0.01780
     0    25    -0.1723005    -0.0000000     0.0000000    15.04460     0.01094
     0    26     0.0000000     0.0000000    -0.2235828    15.10010     0.01849
     0    27     0.0000000     0.0000000     0.0000000    15.38790     0.00000
     0    28     0.0000000    -0.2446272     0.0000000    15.48140     0.02270
     0    29    -0.6920665     0.0000000    -0.0000000    15.76300     0.18497
     0    30     0.0000000     0.0000000     0.0783288    15.84420     0.00238
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0000000    -0.0000000     1.9790292     0.00000     0.00000
     1     2    -0.9932011    -0.0000000     0.0000000     1.72400     0.04166
     1     3    -0.0136994    -0.0000000     0.0000000     2.51710     0.00001
     1     4    -0.0000000    -0.0000000     0.0000000     2.66360     0.00000
     1     5    -0.0000000     0.0000000     0.5438231     3.17710     0.02302
     1     6     0.7424128    -0.0000000     0.0000000     5.44340     0.07351
     1     7     0.5292814    -0.0000000    -0.0000000     6.12330     0.04203
     1     8     0.0000000    -0.0780579     0.0000000     6.15380     0.00092
     1     9    -0.0000000     0.0000000     0.0000000     6.45950     0.00000
     1    10    -0.0000000    -0.0000000     0.3247892     7.09480     0.01834
     1    11     0.0000000    -0.0225928     0.0000000     7.21840     0.00009
     1    12     0.0000000    -0.0000000     1.2190946     7.33340     0.26702
     1    13     0.0000000    -0.0000000     0.0000000     7.49590     0.00000
     1    14    -0.0000000     0.0000000    -0.0000000     7.68920     0.00000
     1    15    -0.0000000    -0.0511094     0.0000000     8.09040     0.00052
     1    16     0.0000000    -0.0000000    -0.0460973     8.11100     0.00042
     1    17     0.0000000    -0.0000000     0.0000000     8.25570     0.00000
     1    18     0.3451108     0.0000000     0.0000000     8.59040     0.02507
     1    19    -0.0000000     0.0000000    -0.0000000     8.61310     0.00000
     1    20    -0.0783090    -0.0000000    -0.0000000     8.66540     0.00130
     1    21    -0.0000000     0.0000000    -0.0000000     9.00660     0.00000
     1    22    -0.0216251    -0.0000000     0.0000000     9.12140     0.00010
     1    23    -0.0000000     0.0779063    -0.0000000     9.24270     0.00137
     1    24     0.0170654    -0.0000000     0.0000000    10.00260     0.00007
     1    25    -0.0000000    -0.5530835     0.0000000    10.22990     0.07667
     1    26    -0.0000000    -0.0000000    -0.0000000    10.28540     0.00000
