 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000   -0.696978 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000     -0.000000     -0.257304      4.7310      262.07
     2      0.000000     -0.000000      1.362466      6.5819      188.37
     3      0.000000     -0.000000     -0.463918      7.3759      168.09
     4      0.000000      0.000000      0.053922      7.5251      164.76
     5     -0.000000     -0.000000     -0.049898      8.0337      154.33
     6     -0.000000      0.000000      1.618803     10.2748      120.67
     7     -0.000000     -0.000000      0.819696     10.7658      115.16
     8     -0.000000      0.000000     -3.397235     10.9963      112.75
     9      0.000000      0.000000      0.343450     11.1314      111.38
    10     -0.000000     -0.000000     -0.829703     11.8118      104.97
    11      0.000000     -0.000000      1.875764     11.8456      104.67
    12     -0.000000     -0.000000     -1.436219     12.0510      102.88
    13      0.000000     -0.000000     -0.609952     12.3435      100.44
    14      0.000000     -0.000000      0.981202     12.4445       99.63
    15      0.000000     -0.000000      0.146832     12.7171       97.49
    16      0.000000      0.000000      0.791414     12.7430       97.30
    17     -0.000000      0.000000      2.061205     12.9876       95.46
    18      0.000000     -0.000000      0.225601     13.3423       92.93
    19     -0.000000      0.000000      1.149413     13.4026       92.51
    20      0.000000      0.000000     -2.104641     13.4676       92.06
    21     -0.000000     -0.000000      0.033997     13.6193       91.04
    22      0.000000     -0.000000      1.393634     13.8055       89.81
    23     -0.000000     -0.000000      1.037108     13.9755       88.72
    24      0.000000     -0.000000     -1.047234     14.6900       84.40
    25     -0.000000     -0.000000      1.240665     14.8965       83.23
    26     -0.000000      0.000000     -0.099994     14.9801       82.77
    27     -0.000000     -0.000000     -0.208471     15.2562       81.27
    28     -0.000000      0.000000      1.552274     15.4881       80.05
    29     -0.000000      0.000000     -0.389765     15.6643       79.15
    30     -0.000000     -0.000000      2.752538     15.7640       78.65
