 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000   -0.000000   -1.016802 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000     -0.000000     -0.150383      3.8260      324.06
     2     -0.000000     -0.000000      2.055441      6.8815      180.17
     3     -0.000000     -0.000000     -0.439193      7.6599      161.86
     4      0.000000     -0.000000      0.670475      7.8725      157.49
     5      0.000000     -0.000000      0.561110      8.3836      147.89
     6     -0.000000     -0.000000      0.288257      8.8354      140.33
     7     -0.000000     -0.000000      0.138855      9.1968      134.81
     8     -0.000000     -0.000000     -1.496482      9.8566      125.79
     9     -0.000000     -0.000000      2.261553     10.2218      121.29
    10     -0.000000      0.000000      2.063029     10.3274      120.05
    11     -0.000000     -0.000000     -0.433144     11.0801      111.90
    12     -0.000000     -0.000000      0.882124     11.1863      110.84
    13     -0.000000     -0.000000     -3.402888     11.4336      108.44
    14     -0.000000     -0.000000      2.233096     11.7165      105.82
    15      0.000000     -0.000000      0.524767     11.9123      104.08
    16      0.000000     -0.000000     -1.698357     12.3104      100.72
    17     -0.000000     -0.000000      0.827296     12.3330      100.53
    18     -0.000000     -0.000000      0.088844     12.5785       98.57
    19      0.000000     -0.000000      1.293366     12.7475       97.26
    20     -0.000000     -0.000000      1.330889     12.8170       96.73
    21      0.000000     -0.000000     -1.150038     12.9662       95.62
    22      0.000000     -0.000000      1.108527     13.2766       93.39
    23     -0.000000      0.000000      1.933151     13.3557       92.83
    24      0.000000      0.000000     -1.145237     13.6133       91.08
    25     -0.000000     -0.000000     -2.029676     13.7445       90.21
    26      0.000000     -0.000000     -0.494090     14.0966       87.95
    27      0.000000     -0.000000     -0.493512     14.3195       86.58
    28     -0.000000     -0.000000      0.242552     14.4624       85.73
    29     -0.000000     -0.000000     -2.921556     14.7206       84.22
    30     -0.000000      0.000000      2.613399     14.9689       82.83
