 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000    0.659989 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000      0.000000     -1.146461      4.4364      279.47
     2     -0.000000      0.000000      0.202876      4.8198      257.24
     3     -0.000000      0.000000      1.379301      5.5228      224.50
     4     -0.000000      0.000000     -1.110503      5.7640      215.10
     5      0.000000      0.000000     -1.622270      8.4818      146.18
     6     -0.000000      0.000000     -0.811183      8.7615      141.51
     7     -0.000000      0.000000     -0.785776      8.9381      138.71
     8      0.000000     -0.000000      0.089557      9.4230      131.58
     9     -0.000000      0.000000      0.274754      9.9460      124.66
    10      0.000000      0.000000     -2.771622     10.1853      121.73
    11     -0.000000      0.000000      0.693357     12.4563       99.54
    12     -0.000000      0.000000      1.406278     12.7877       96.96
    13      0.000000      0.000000      2.334747     13.3232       93.06
    14     -0.000000      0.000000      1.644108     13.7218       90.36
    15     -0.000000      0.000000      1.324149     14.0465       88.27
    16     -0.000000      0.000000      3.157697     14.2571       86.96
    17     -0.000000      0.000000     -1.349282     15.0409       82.43
    18     -0.000000      0.000000      0.323284     15.3135       80.96
    19     -0.000000      0.000000     -0.767653     16.0313       77.34
    20      0.000000      0.000000      2.013085     16.0590       77.21
    21      0.000000      0.000000      3.170986     16.4215       75.50
    22      0.000000      0.000000      0.845951     16.9280       73.24
    23     -0.000000      0.000000      1.576083     17.2275       71.97
    24      0.000000     -0.000000      0.975392     17.4493       71.05
    25     -0.000000      0.000000      2.509385     18.3769       67.47
    26      0.000000      0.000000      0.578679     18.5966       66.67
    27      0.000000      0.000000     -0.548921     18.9185       65.54
    28      0.000000     -0.000000      0.213708     19.0009       65.25
    29     -0.000000      0.000000     -1.284683     19.0251       65.17
    30      0.000000      0.000000     -0.275984     19.4155       63.86
