 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000    0.000000   -1.338293 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000      0.000000      0.189133      2.5939      477.98
     2      0.000000      0.000000     -0.249142      6.4870      191.13
     3      0.000000      0.000000     -0.205854      6.5563      189.11
     4      0.000000     -0.000000      3.341592      6.8962      179.79
     5     -0.000000     -0.000000     -0.907749      7.3984      167.58
     6      0.000000      0.000000      1.480725      8.0427      154.16
     7      0.000000      0.000000     -2.400488      8.1373      152.37
     8      0.000000     -0.000000      2.876047      8.5568      144.90
     9      0.000000      0.000000      1.304547      8.5889      144.35
    10     -0.000000     -0.000000     -1.374866      9.1948      134.84
    11      0.000000      0.000000      1.062102      9.6992      127.83
    12      0.000000      0.000000      2.725796      9.9552      124.54
    13      0.000000      0.000000      0.807964     10.3414      119.89
    14      0.000000     -0.000000      2.651994     10.7773      115.04
    15      0.000000      0.000000     -0.155363     10.8561      114.21
    16      0.000000     -0.000000      0.111160     11.3051      109.67
    17      0.000000      0.000000      2.223058     11.5832      107.04
    18      0.000000     -0.000000     -2.948703     11.6995      105.97
    19      0.000000     -0.000000      0.292906     11.8432      104.69
    20      0.000000      0.000000      1.233386     11.9323      103.91
    21      0.000000     -0.000000      1.052326     12.1697      101.88
    22     -0.000000      0.000000     -1.602405     12.3259      100.59
    23      0.000000      0.000000      0.162288     12.4588       99.52
    24      0.000000      0.000000      0.963977     12.4681       99.44
    25      0.000000      0.000000     -0.557216     12.5234       99.00
    26     -0.000000     -0.000000     -3.355612     12.9668       95.62
    27      0.000000     -0.000000     -1.104680     13.2357       93.67
    28      0.000000     -0.000000     -3.651136     13.4754       92.01
    29      0.000000      0.000000     -1.013662     13.5966       91.19
    30     -0.000000      0.000000     -1.041300     13.8568       89.48
