 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000    0.000000    0.607852 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.000000      0.000000     -1.036923      4.5401      273.09
     2      0.000000      0.000000      0.247905      4.9094      252.54
     3      0.000000     -0.000000      1.278526      5.5773      222.30
     4      0.000000     -0.000000     -1.067845      5.7901      214.13
     5     -0.000000      0.000000     -1.640780      8.3865      147.84
     6      0.000000      0.000000     -0.985232      8.8088      140.75
     7      0.000000      0.000000     -0.839771      9.0934      136.35
     8      0.000000     -0.000000      0.188726      9.4418      131.31
     9     -0.000000      0.000000      0.187821      9.9795      124.24
    10      0.000000      0.000000     -2.819432     10.3531      119.76
    11     -0.000000     -0.000000      0.766991     12.4085       99.92
    12     -0.000000      0.000000      1.222729     13.3040       93.19
    13      0.000000      0.000000      1.711225     13.7806       89.97
    14      0.000000      0.000000      2.290006     13.8367       89.61
    15      0.000000      0.000000      1.260042     14.5030       85.49
    16     -0.000000      0.000000      2.891371     14.7069       84.30
    17     -0.000000      0.000000     -0.977697     15.2249       81.44
    18      0.000000      0.000000      0.433828     15.4532       80.23
    19     -0.000000     -0.000000     -0.681295     16.1155       76.93
    20      0.000000      0.000000      1.926907     16.1511       76.77
    21      0.000000      0.000000      3.088728     16.9343       73.21
    22     -0.000000      0.000000      0.754109     17.3163       71.60
    23      0.000000      0.000000      1.433284     17.7789       69.74
    24      0.000000     -0.000000      0.866106     17.8732       69.37
    25      0.000000      0.000000      0.674541     18.7443       66.15
    26     -0.000000      0.000000      1.441742     18.7925       65.98
    27     -0.000000      0.000000     -0.355291     19.0546       65.07
    28      0.000000      0.000000      0.306580     19.0619       65.04
    29      0.000000      0.000000     -0.755167     19.4179       63.85
    30      0.000000      0.000000     -0.395300     19.6005       63.26
