 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000    0.587431 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     1.1027449     0.0000000     4.57850     0.13641
     0     2    -0.0000000     0.0000000     0.0000000     4.94250     0.00000
     0     3     0.0000000     0.5178085     0.0000000     5.60010     0.03679
     0     4    -0.0000000     0.0000000     0.1335677     5.80490     0.00254
     0     5     0.0000000     0.0000000     0.0000000     8.35170     0.00000
     0     6     0.0000000    -0.7089215    -0.0000000     8.83020     0.10872
     0     7    -0.0000000    -0.0000000    -0.2565595     9.15040     0.01476
     0     8     0.0000000    -1.3030269     0.0000000     9.45050     0.39312
     0     9     0.0000000    -0.0000000     0.0000000     9.99910     0.00000
     0    10     0.0000000     0.5059356     0.0000000    10.41690     0.06533
     0    11     0.0000000     0.0000000     0.9268581    12.38780     0.26072
     0    12    -0.0000000    -0.0000000     0.2832314    13.44190     0.02642
     0    13     0.0000000    -0.1893029     0.0000000    13.80190     0.01212
     0    14     0.0824038    -0.0000000    -0.0000000    13.96540     0.00232
     0    15    -0.0000000    -0.3373019     0.0000000    14.61830     0.04075
     0    16    -0.0000000     0.0000000     0.0768382    14.81370     0.00214
     0    17    -0.0000000    -0.0000000    -0.1431995    15.26580     0.00767
     0    18    -0.5258652    -0.0000000    -0.0000000    15.47910     0.10487
     0    19     0.0000000    -0.1125830    -0.0000000    16.12730     0.00501
     0    20     0.0000000    -0.0000000    -0.5322614    16.16300     0.11218
     0    21    -0.0000000    -0.0000000    -0.2553438    17.06120     0.02725
     0    22    -0.6030803     0.0000000     0.0000000    17.39530     0.15500
     0    23    -0.0000000    -0.3212582     0.0000000    17.92240     0.04532
     0    24     0.0000000     0.0000000     0.3707721    17.97430     0.06054
     0    25    -0.0000000     0.0000000     0.1560020    18.76610     0.01119
     0    26     0.0855859     0.0000000     0.0000000    18.85000     0.00338
     0    27    -0.2728485    -0.0000000     0.0000000    19.07740     0.03480
     0    28    -0.0000000    -0.2197122    -0.0000000    19.08020     0.02257
     0    29    -0.0000000     0.0000000    -0.4241812    19.54930     0.08618
     0    30     0.0000000    -0.3499512    -0.0000000    19.64590     0.05894
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000     0.0000000     7.8848717     0.00000     0.00000
     1     2     2.8993973     0.0000000    -0.0000000     0.36400     0.07497
     1     3    -0.0000000    -0.0000000     2.8452640     1.02160     0.20262
     1     4    -0.0000000     3.0510650     0.0000000     1.22640     0.27970
     1     5     0.8020705     0.0000000    -0.0000000     3.77320     0.05947
     1     6     0.0000000     0.0000000     0.5461691     4.25170     0.03107
     1     7     0.0000000    -0.6004815    -0.0000000     4.57190     0.04039
     1     8     0.0000000     0.0000000    -0.5243992     4.87200     0.03282
     1     9     1.0204342    -0.0000000     0.0000000     5.42060     0.13829
     1    10     0.0000000     0.0000000    -0.1090805     5.83840     0.00170
     1    11     0.0000000     0.0180793     0.0000000     7.80930     0.00006
     1    12     0.0000000    -0.6179711     0.0000000     8.86340     0.08293
     1    13    -0.0000000     0.0000000    -0.6096399     9.22340     0.08398
     1    14     0.0000000     0.0000000    -0.0000000     9.38690     0.00000
     1    15     0.0000000     0.0000000    -0.0620443    10.03980     0.00095
     1    16    -0.0000000     0.3020708    -0.0000000    10.23520     0.02288
     1    17     0.0000000     0.8439194    -0.0000000    10.68730     0.18648
     1    18     0.0000000    -0.0000000    -0.0000000    10.90060     0.00000
     1    19    -0.0000000     0.0000000     0.0291260    11.54880     0.00024
     1    20     0.0000000     0.0495961    -0.0000000    11.58450     0.00070
     1    21    -0.0000000    -0.0269398     0.0000000    12.48270     0.00022
     1    22     0.0000000     0.0000000     0.0000000    12.81680     0.00000
     1    23     0.0000000     0.0000000    -0.0036876    13.34390     0.00000
     1    24     0.0000000     0.0154507    -0.0000000    13.39580     0.00008
     1    25     0.0000000     0.0265609    -0.0000000    14.18760     0.00025
     1    26     0.0000000    -0.0000000    -0.0000000    14.27150     0.00000
     1    27    -0.0000000    -0.0000000     0.0000000    14.49890     0.00000
     1    28    -0.0000000     0.0000000     0.0250430    14.50170     0.00022
     1    29     0.0000000    -0.0230410    -0.0000000    14.97080     0.00019
     1    30    -0.0000000     0.0000000     0.0072317    15.06740     0.00002
     2     2     0.0000000    -0.0000000     9.1444236     0.00000     0.00000
     2     3     0.5108010    -0.0000000     0.0000000     0.65760     0.00420
     2     4     0.0000000     0.0000000    -0.0000000     0.86240     0.00000
     2     5    -0.0000000    -0.0000000    -1.1503511     3.40920     0.11053
     2     6     1.8713639    -0.0000000    -0.0000000     3.88770     0.33355
     2     7    -0.0000000    -0.0000000    -0.0000000     4.20790     0.00000
     2     8     0.8214517     0.0000000     0.0000000     4.50800     0.07453
     2     9    -0.0000000     0.0000000     0.6747935     5.05660     0.05641
     2    10     0.6397366     0.0000000     0.0000000     5.47440     0.05489
     2    11     0.0000000     0.0000000     0.0000000     7.44530     0.00000
