 Ground state dipole moment in X,Y,Z:    0.000000    0.000000   -1.587551 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.0000000     0.0000000     1.51230     0.00000
     0     2     0.0000000     0.0000000     0.6755143     3.96160     0.04429
     0     3     0.0899771     0.0000000     0.0000000     4.41930     0.00088
     0     4    -0.0000000    -0.2058557     0.0000000     4.57140     0.00475
     0     5    -0.2396721     0.0000000     0.0000000     5.46180     0.00769
     0     6    -0.0000000    -0.0974904    -0.0000000     6.93290     0.00161
     0     7    -0.0000000    -0.0000000    -0.0000000     7.09240     0.00000
     0     8    -0.6318165     0.0000000     0.0000000     7.58810     0.07421
     0     9    -0.0000000    -0.0000000    -0.2863125     8.02430     0.01612
     0    10    -0.0000000    -0.0000000     0.0000000     8.58360     0.00000
     0    11    -0.0000000    -0.3924242    -0.0000000     8.61250     0.03249
     0    12    -0.0000000    -0.0000000     0.0000000     8.66070     0.00000
     0    13    -0.0000000     0.0000000     0.5090005     9.25000     0.05871
     0    14    -0.3637658     0.0000000    -0.0000000     9.32270     0.03022
     0    15    -0.0000000     0.0000000    -1.0540089     9.54250     0.25972
     0    16    -0.0000000    -0.2730673    -0.0000000    10.08580     0.01843
     0    17    -0.0000000     0.0000000    -0.5042997    10.09520     0.06290
     0    18     0.0000000     0.1885600    -0.0000000    10.61980     0.00925
     0    19    -0.4311041     0.0000000    -0.0000000    10.68070     0.04863
     0    20     0.0000000    -0.2193030     0.0000000    10.97840     0.01294
     0    21    -0.0000000     0.0000000     0.0000000    10.98460     0.00000
     0    22    -0.0000000    -0.0000000    -0.9661609    11.04650     0.25263
     0    23    -0.0922069     0.0000000     0.0000000    11.51580     0.00240
     0    24     0.0000000    -0.0856382     0.0000000    11.54000     0.00207
     0    25     0.0000000    -0.0000000    -0.0000000    12.09340     0.00000
     0    26     0.0000000    -0.6874484    -0.0000000    12.22400     0.14153
     0    27     0.0998659     0.0000000    -0.0000000    12.37940     0.00302
     0    28     0.0000000    -0.0000000     1.1153229    12.38510     0.37745
     0    29    -0.0000000     0.0000000    -0.0289686    12.95020     0.00027
     0    30    -0.0000000    -0.0000000     0.6750526    13.05150     0.14571
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1     0.0000000     0.0000000    -7.5989863     0.00000     0.00000
     1     2    -0.0000000    -0.0000000    -0.0000000     2.44930     0.00000
     1     3     0.0000000    -0.0077669    -0.0000000     2.90700     0.00000
     1     4    -0.1798209    -0.0000000     0.0000000     3.05910     0.00242
     1     5    -0.0000000     0.0098308    -0.0000000     3.94950     0.00001
     1     6    -0.4962774     0.0000000     0.0000000     5.42060     0.03271
     1     7     0.0000000     0.0000000     0.6193454     5.58010     0.05244
     1     8    -0.0000000     0.0058880     0.0000000     6.07580     0.00001
     1     9    -0.0000000    -0.0000000    -0.0000000     6.51200     0.00000
     1    10     0.0000000    -0.0000000     0.1474317     7.07130     0.00377
     1    11     0.1354078    -0.0000000    -0.0000000     7.10020     0.00319
     1    12    -0.0000000    -0.0000000    -0.0243411     7.14840     0.00010
     1    13    -0.0000000    -0.0000000    -0.0000000     7.73770     0.00000
     1    14     0.0000000     0.0149330    -0.0000000     7.81040     0.00004
     1    15     0.0000000     0.0000000     0.0000000     8.03020     0.00000
     1    16    -0.3768828    -0.0000000    -0.0000000     8.57350     0.02984
     1    17     0.0000000     0.0000000     0.0000000     8.58290     0.00000
     1    18     0.0212148     0.0000000     0.0000000     9.10750     0.00010
     1    19    -0.0000000     0.0362225     0.0000000     9.16840     0.00029
     1    20    -0.0041675    -0.0000000    -0.0000000     9.46610     0.00000
     1    21    -0.0000000     0.0000000    -0.0300784     9.47230     0.00021
     1    22    -0.0000000    -0.0000000     0.0000000     9.53420     0.00000
     1    23    -0.0000000     0.0198920     0.0000000    10.00350     0.00010
     1    24     0.3925710     0.0000000    -0.0000000    10.02770     0.03786
     1    25    -0.0000000     0.0000000    -0.2546838    10.58110     0.01681
     1    26    -0.0154581     0.0000000    -0.0000000    10.71170     0.00006
     1    27     0.0000000    -0.0394451    -0.0000000    10.86710     0.00041
     1    28     0.0000000     0.0000000    -0.0000000    10.87280     0.00000
     1    29     0.0000000     0.0000000     0.0000000    11.43790     0.00000
     1    30     0.0000000     0.0000000     0.0000000    11.53920     0.00000
     2     2     0.0000000     0.0000000    -8.5541626     0.00000     0.00000
     2     3    -0.1300367    -0.0000000     0.0000000     0.45770     0.00019
     2     4    -0.0000000     0.0577151    -0.0000000     0.60980     0.00005
     2     5    -0.1423943    -0.0000000     0.0000000     1.50020     0.00075
     2     6    -0.0000000     0.0531589     0.0000000     2.97130     0.00021
     2     7    -0.0000000     0.0000000    -0.0000000     3.13080     0.00000
     2     8    -0.4898649     0.0000000     0.0000000     3.62650     0.02132
     2     9     0.0000000    -0.0000000     0.0594680     4.06270     0.00035
     2    10    -0.0000000     0.0000000     0.0000000     4.62200     0.00000
     2    11    -0.0000000     0.1089952    -0.0000000     4.65090     0.00135
     2    12    -0.0000000    -0.0000000    -0.0000000     4.69910     0.00000
     2    13     0.0000000     0.0000000     0.2922715     5.28840     0.01107
     2    14     0.1847881    -0.0000000    -0.0000000     5.36110     0.00448
     2    15     0.0000000    -0.0000000     0.0548265     5.58090     0.00041
     2    16    -0.0000000     0.0647055     0.0000000     6.12420     0.00063
     2    17    -0.0000000     0.0000000    -0.1957971     6.13360     0.00576
     2    18     0.0000000     0.0460515     0.0000000     6.65820     0.00035
     2    19    -0.4147127    -0.0000000    -0.0000000     6.71910     0.02831
     2    20    -0.0000000     0.0818271    -0.0000000     7.01680     0.00115
     2    21    -0.0000000    -0.0000000    -0.0000000     7.02300     0.00000
     2    22    -0.0000000     0.0000000     0.0064880     7.08490     0.00001
     2    23    -0.0020881    -0.0000000     0.0000000     7.55420     0.00000
     2    24     0.0000000    -0.0157111    -0.0000000     7.57840     0.00005
     2    25     0.0000000     0.0000000     0.0000000     8.13180     0.00000
     2    26    -0.0000000    -0.0289455     0.0000000     8.26240     0.00017
     2    27     0.4101362     0.0000000    -0.0000000     8.41780     0.03469
     2    28     0.0000000     0.0000000     0.2355072     8.42350     0.01145
     2    29    -0.0000000     0.0000000    -0.1613609     8.98860     0.00573
     2    30    -0.0000000    -0.0000000    -0.0315962     9.08990     0.00022
     3     3     0.0000000     0.0000000    -8.7639995     0.00000     0.00000
     3     4     0.0000000    -0.0000000    -0.0000000     0.15210     0.00000
     3     5    -0.0000000     0.0000000     0.0068072     1.04250     0.00000
     3     6     0.0000000    -0.0000000    -0.0000000     2.51360     0.00000
     3     7     0.0000000     0.2165696    -0.0000000     2.67310     0.00307
     3     8    -0.0000000     0.0000000    -0.1922026     3.16880     0.00287
     3     9    -0.0060608    -0.0000000    -0.0000000     3.60500     0.00000
     3    10     0.0000000     0.0049320    -0.0000000     4.16430     0.00000
     3    11     0.0000000     0.0000000     0.0000000     4.19320     0.00000
     3    12    -0.0000000     0.0516318    -0.0000000     4.24140     0.00028
     3    13     0.0423142    -0.0000000     0.0000000     4.83070     0.00021
     3    14    -0.0000000     0.0000000     0.0838474     4.90340     0.00084
     3    15     0.1970259    -0.0000000     0.0000000     5.12320     0.00487
     3    16     0.0000000     0.0000000    -0.0000000     5.66650     0.00000
     3    17    -0.3948494    -0.0000000     0.0000000     5.67590     0.02168
     3    18     0.0000000     0.0000000    -0.0000000     6.20050     0.00000
     3    19    -0.0000000    -0.0000000     0.0877212     6.26140     0.00118
     3    20    -0.0000000    -0.0000000    -0.0000000     6.55910     0.00000
     3    21    -0.0000000     0.1679716    -0.0000000     6.56530     0.00454
     3    22    -0.0104074    -0.0000000     0.0000000     6.62720     0.00002
     3    23     0.0000000    -0.0000000     0.2023761     7.09650     0.00712
     3    24    -0.0000000    -0.0000000    -0.0000000     7.12070     0.00000
     3    25     0.0000000    -0.0058961     0.0000000     7.67410     0.00001
     3    26     0.0000000     0.0000000    -0.0000000     7.80470     0.00000
     3    27    -0.0000000    -0.0000000    -0.2569489     7.96010     0.01288
     3    28     0.3321225     0.0000000     0.0000000     7.96580     0.02153
     3    29     0.1062005     0.0000000     0.0000000     8.53090     0.00236
     3    30    -0.2182599    -0.0000000    -0.0000000     8.63220     0.01007
     4     4     0.0000000     0.0000000    -7.9494971     0.00000     0.00000
     4     5     0.0000000     0.0000000    -0.0000000     0.89040     0.00000
     4     6    -0.0000000     0.0000000    -1.1260753     2.36150     0.07336
     4     7    -0.0083740    -0.0000000     0.0000000     2.52100     0.00000
     4     8     0.0000000     0.0000000    -0.0000000     3.01670     0.00000
     4     9    -0.0000000     0.3104299    -0.0000000     3.45290     0.00815
     4    10     0.0768680    -0.0000000     0.0000000     4.01220     0.00058
     4    11    -0.0000000     0.0000000     0.5475187     4.04110     0.02968
     4    12    -0.0132689     0.0000000    -0.0000000     4.08930     0.00002
     4    13    -0.0000000     0.2202249    -0.0000000     4.67860     0.00556
     4    14     0.0000000    -0.0000000     0.0000000     4.75130     0.00000
     4    15     0.0000000    -0.3449134     0.0000000     4.97110     0.01449
     4    16    -0.0000000    -0.0000000    -0.0928334     5.51440     0.00116
     4    17     0.0000000    -0.3735430     0.0000000     5.52380     0.01888
     4    18     0.0000000     0.0000000     0.6003842     6.04840     0.05341
     4    19     0.0000000     0.0000000    -0.0000000     6.10930     0.00000
     4    20    -0.0000000     0.0000000     0.1206127     6.40700     0.00228
     4    21    -0.0073821    -0.0000000     0.0000000     6.41320     0.00001
     4    22     0.0000000     0.6251187    -0.0000000     6.47510     0.06199
     4    23     0.0000000    -0.0000000    -0.0000000     6.94440     0.00000
     4    24    -0.0000000    -0.0000000    -1.0005905     6.96860     0.17093
     4    25    -0.6676265    -0.0000000     0.0000000     7.52200     0.08214
     4    26    -0.0000000    -0.0000000     0.0031656     7.65260     0.00000
     4    27     0.0000000    -0.0000000     0.0000000     7.80800     0.00000
     4    28    -0.0000000    -0.1717157     0.0000000     7.81370     0.00564
     4    29    -0.0000000     0.0828657     0.0000000     8.37880     0.00141
     4    30    -0.0000000     0.0942948     0.0000000     8.48010     0.00185
     5     5     0.0000000     0.0000000    -8.8211775     0.00000     0.00000
     5     6    -0.0000000    -0.0000000     0.0000000     1.47110     0.00000
     5     7     0.0000000    -0.0679149    -0.0000000     1.63060     0.00018
     5     8    -0.0000000     0.0000000    -1.1898923     2.12630     0.07376
     5     9     0.0036418     0.0000000    -0.0000000     2.56250     0.00000
     5    10     0.0000000     0.0468341    -0.0000000     3.12180     0.00017
     5    11    -0.0000000     0.0000000     0.0000000     3.15070     0.00000
     5    12    -0.0000000     0.3701823    -0.0000000     3.19890     0.01074
     5    13     0.1458229    -0.0000000     0.0000000     3.78820     0.00197
     5    14    -0.0000000     0.0000000     0.5983669     3.86090     0.03387
     5    15     0.0041497    -0.0000000     0.0000000     4.08070     0.00000
     5    16    -0.0000000     0.0000000    -0.0000000     4.62400     0.00000
     5    17     0.1552746    -0.0000000     0.0000000     4.63340     0.00274
     5    18    -0.0000000     0.0000000    -0.0000000     5.15800     0.00000
     5    19    -0.0000000     0.0000000    -0.1899879     5.21890     0.00462
     5    20     0.0000000     0.0000000    -0.0000000     5.51660     0.00000
     5    21    -0.0000000     0.8605821    -0.0000000     5.52280     0.10021
     5    22    -0.0799529    -0.0000000     0.0000000     5.58470     0.00087
     5    23    -0.0000000    -0.0000000    -0.0890237     6.05400     0.00118
