 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -1.597953 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000      0.000000      0.623165      1.4710      842.86
     2      0.000000      0.000000     -0.350081      3.8583      321.34
     3      0.000000      0.000000     -0.578263      4.3229      286.81
     4     -0.000000      0.000000      0.215956      4.4195      280.54
     5     -0.000000      0.000000     -0.670665      5.2856      234.57
     6     -0.000000      0.000000      2.716810      6.9235      179.08
     7      0.000000     -0.000000     -3.014228      7.0570      175.69
     8      0.000000      0.000000      1.991646      7.5428      164.37
     9     -0.000000     -0.000000      2.199959      8.0209      154.58
    10     -0.000000     -0.000000      1.921299      8.5794      144.51
    11     -0.000000      0.000000      1.372154      8.5878      144.37
    12     -0.000000      0.000000      1.414558      8.6246      143.76
    13     -0.000000      0.000000      1.039469      9.2074      134.66
    14     -0.000000      0.000000      0.443068      9.2643      133.83
    15      0.000000     -0.000000      1.902782      9.4797      130.79
    16     -0.000000      0.000000      0.036583     10.0368      123.53
    17      0.000000     -0.000000      2.560048     10.0715      123.10
    18     -0.000000     -0.000000     -3.076096     10.5018      118.06
    19      0.000000     -0.000000      1.638981     10.6350      116.58
    20     -0.000000      0.000000      0.966286     10.9264      113.47
    21      0.000000      0.000000      0.290783     10.9299      113.44
    22     -0.000000      0.000000      0.468207     11.0092      112.62
    23     -0.000000      0.000000      0.871240     11.4672      108.12
    24      0.000000      0.000000     -3.126588     11.5293      107.54
    25     -0.000000      0.000000     -1.615008     12.0800      102.64
    26      0.000000      0.000000     -0.483798     12.2184      101.47
    27      0.000000     -0.000000      0.769932     12.3093      100.72
    28      0.000000      0.000000     -4.122581     12.3362      100.50
    29      0.000000     -0.000000     -0.743870     12.9097       96.04
    30      0.000000     -0.000000     -0.255754     13.0160       95.26
