 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000   -1.628289 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1    -0.0000000    -0.0000000     0.0000000     1.35490     0.00000
     0     2    -0.0000000    -0.0000000     0.6331514     3.56320     0.03500
     0     3    -0.0000000    -0.1788395    -0.0000000     3.98050     0.00312
     0     4     0.0689859     0.0000000     0.0000000     4.03520     0.00047
     0     5    -0.2455126     0.0000000     0.0000000     4.78770     0.00707
     0     6    -0.0000000    -0.1059781    -0.0000000     6.89610     0.00190
     0     7     0.0000000    -0.0000000    -0.0000000     6.95840     0.00000
     0     8    -0.6177834    -0.0000000    -0.0000000     7.41650     0.06935
     0     9    -0.0000000    -0.0000000    -0.2975102     8.00980     0.01737
     0    10     0.0000000     0.0000000     0.0000000     8.51460     0.00000
     0    11    -0.0000000    -0.4138065    -0.0000000     8.52540     0.03577
     0    12    -0.0000000     0.0000000    -0.0000000     8.57490     0.00000
     0    13     0.0000000    -0.0000000     0.8033080     9.07970     0.14355
     0    14    -0.4082546     0.0000000     0.0000000     9.10840     0.03719
     0    15    -0.0000000    -0.0000000    -1.0629204     9.29730     0.25735
     0    16    -0.0000000    -0.0000000    -0.5374666     9.86400     0.06981
     0    17    -0.0000000    -0.2147510     0.0000000    10.02470     0.01133
     0    18     0.0000000     0.1915079    -0.0000000    10.16240     0.00913
     0    19    -0.4399244     0.0000000     0.0000000    10.50720     0.04982
     0    20     0.0000000    -0.2318839    -0.0000000    10.77540     0.01419
     0    21     0.0000000     0.0000000     0.0000000    10.77540     0.00000
     0    22    -0.0000000     0.0000000    -0.9134855    10.90060     0.22285
     0    23    -0.0792067    -0.0000000    -0.0000000    11.32230     0.00174
     0    24     0.0000000    -0.1020248    -0.0000000    11.49650     0.00293
     0    25    -0.0000000    -0.0000000    -0.0000000    12.03990     0.00000
     0    26     0.0000000     0.0000000     1.1277052    12.08560     0.37655
     0    27     0.0000000    -0.6808111     0.0000000    12.20720     0.13862
     0    28     0.0845436     0.0000000     0.0000000    12.21230     0.00214
     0    29     0.0000000     0.0000000     0.3257699    12.76710     0.03319
     0    30     0.0000000    -0.0000000    -0.5824293    12.92550     0.10742
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000     0.0000000    -8.4179881     0.00000     0.00000
     1     2     0.0000000    -0.0000000    -0.0000000     2.20830     0.00000
     1     3    -0.1879157     0.0000000     0.0000000     2.62560     0.00227
     1     4     0.0000000    -0.0120213     0.0000000     2.68030     0.00001
     1     5    -0.0000000     0.0106163     0.0000000     3.43280     0.00001
     1     6    -0.4921682     0.0000000     0.0000000     5.54120     0.03288
     1     7    -0.0000000    -0.0000000     0.5602446     5.60350     0.04309
     1     8     0.0000000     0.0055611    -0.0000000     6.06160     0.00000
     1     9     0.0000000    -0.0000000    -0.0000000     6.65490     0.00000
     1    10    -0.0000000     0.0000000     0.0231948     7.15970     0.00009
     1    11     0.0994874     0.0000000     0.0000000     7.17050     0.00174
     1    12    -0.0000000    -0.0000000     0.1294991     7.22000     0.00297
     1    13     0.0000000     0.0000000    -0.0000000     7.72480     0.00000
     1    14    -0.0000000     0.0167118     0.0000000     7.75350     0.00005
     1    15    -0.0000000    -0.0000000     0.0000000     7.94240     0.00000
     1    16    -0.0000000    -0.0000000     0.0000000     8.50910     0.00000
     1    17    -0.3716171    -0.0000000    -0.0000000     8.66980     0.02933
     1    18     0.1068967     0.0000000     0.0000000     8.80750     0.00247
     1    19    -0.0000000     0.0321500    -0.0000000     9.15230     0.00023
     1    20    -0.0051586    -0.0000000    -0.0000000     9.42050     0.00001
     1    21    -0.0000000     0.0000000    -0.0293201     9.42050     0.00020
     1    22     0.0000000     0.0000000    -0.0000000     9.54570     0.00000
     1    23    -0.0000000     0.0168581    -0.0000000     9.96740     0.00007
     1    24     0.3936595     0.0000000     0.0000000    10.14160     0.03850
     1    25    -0.0000000    -0.0000000    -0.2658023    10.68500     0.01849
     1    26    -0.0000000    -0.0000000    -0.0000000    10.73070     0.00000
     1    27    -0.0131248    -0.0000000    -0.0000000    10.85230     0.00005
     1    28     0.0000000    -0.0341312    -0.0000000    10.85740     0.00031
     1    29     0.0000000    -0.0000000     0.0000000    11.41220     0.00000
     1    30     0.0000000    -0.0000000     0.0000000    11.57060     0.00000
     2     2    -0.0000000     0.0000000    -9.4421287     0.00000     0.00000
     2     3    -0.0000000     0.0417474     0.0000000     0.41730     0.00002
     2     4    -0.1690161     0.0000000    -0.0000000     0.47200     0.00033
     2     5    -0.1390901     0.0000000    -0.0000000     1.22450     0.00058
     2     6     0.0000000     0.0455027    -0.0000000     3.33290     0.00017
     2     7     0.0000000    -0.0000000    -0.0000000     3.39520     0.00000
     2     8    -0.4733517     0.0000000     0.0000000     3.85330     0.02115
     2     9     0.0000000     0.0000000     0.0345244     4.44660     0.00013
     2    10     0.0000000    -0.0000000    -0.0000000     4.95140     0.00000
     2    11    -0.0000000     0.0996205     0.0000000     4.96220     0.00121
     2    12     0.0000000    -0.0000000    -0.0000000     5.01170     0.00000
     2    13    -0.0000000     0.0000000     0.3040734     5.51650     0.01250
     2    14     0.1454818     0.0000000     0.0000000     5.54520     0.00288
     2    15    -0.0000000     0.0000000     0.0387617     5.73410     0.00021
     2    16     0.0000000    -0.0000000    -0.2373784     6.30080     0.00870
     2    17     0.0000000     0.0634383    -0.0000000     6.46150     0.00064
     2    18    -0.0000000     0.0390741    -0.0000000     6.59920     0.00025
     2    19    -0.4152799    -0.0000000    -0.0000000     6.94400     0.02934
     2    20    -0.0000000     0.0794325     0.0000000     7.21220     0.00111
     2    21     0.0000000     0.0000000    -0.0000000     7.21220     0.00000
     2    22     0.0000000     0.0000000    -0.0227124     7.33740     0.00009
     2    23    -0.0026638     0.0000000    -0.0000000     7.75910     0.00000
     2    24    -0.0000000    -0.0109025    -0.0000000     7.93330     0.00002
     2    25    -0.0000000     0.0000000     0.0000000     8.47670     0.00000
     2    26     0.0000000    -0.0000000     0.2841564     8.52240     0.01686
     2    27     0.0000000    -0.0314083    -0.0000000     8.64400     0.00021
     2    28     0.4035152     0.0000000    -0.0000000     8.64910     0.03450
     2    29     0.0000000     0.0000000     0.1384302     9.20390     0.00432
     2    30     0.0000000     0.0000000     0.0692745     9.36230     0.00110
     3     3    -0.0000000    -0.0000000    -8.9768625     0.00000     0.00000
     3     4    -0.0000000    -0.0000000    -0.0000000     0.05470     0.00000
     3     5    -0.0000000    -0.0000000    -0.0000000     0.80720     0.00000
     3     6     0.0000000    -0.0000000    -0.9824499     2.91560     0.06895
     3     7    -0.0071485     0.0000000     0.0000000     2.97790     0.00000
     3     8     0.0000000     0.0000000    -0.0000000     3.43600     0.00000
     3     9    -0.0000000     0.2718955     0.0000000     4.02930     0.00730
     3    10     0.0091882     0.0000000    -0.0000000     4.53410     0.00001
     3    11     0.0000000    -0.0000000     0.4435486     4.54490     0.02191
     3    12     0.0579198     0.0000000    -0.0000000     4.59440     0.00038
     3    13    -0.0000000     0.2596379     0.0000000     5.09920     0.00842
     3    14    -0.0000000     0.0000000     0.0000000     5.12790     0.00000
     3    15     0.0000000    -0.2661574    -0.0000000     5.31680     0.00923
     3    16     0.0000000    -0.3047182    -0.0000000     5.88350     0.01338
     3    17     0.0000000    -0.0000000     0.0574551     6.04420     0.00049
     3    18    -0.0000000    -0.0000000     0.5354277     6.18190     0.04342
     3    19    -0.0000000     0.0000000    -0.0000000     6.52670     0.00000
     3    20    -0.0000000    -0.0000000     0.0578194     6.79490     0.00056
     3    21    -0.0050316    -0.0000000     0.0000000     6.79490     0.00000
     3    22    -0.0000000     0.5834419     0.0000000     6.92010     0.05771
     3    23    -0.0000000     0.0000000     0.0000000     7.34180     0.00000
     3    24    -0.0000000     0.0000000    -0.8998192     7.51600     0.14909
     3    25    -0.5813778    -0.0000000     0.0000000     8.05940     0.06674
     3    26     0.0000000    -0.1900715    -0.0000000     8.10510     0.00717
     3    27     0.0000000     0.0000000    -0.0088330     8.22670     0.00002
     3    28    -0.0000000     0.0000000     0.0000000     8.23180     0.00000
     3    29     0.0000000    -0.0236966     0.0000000     8.78660     0.00012
     3    30     0.0000000    -0.0663083     0.0000000     8.94500     0.00096
     4     4    -0.0000000     0.0000000    -9.7336305     0.00000     0.00000
     4     5    -0.0000000    -0.0000000    -0.0380235     0.75250     0.00003
     4     6    -0.0000000     0.0000000    -0.0000000     2.86090     0.00000
     4     7     0.0000000     0.1967785     0.0000000     2.92320     0.00277
     4     8     0.0000000    -0.0000000    -0.2928253     3.38130     0.00710
     4     9    -0.0066160     0.0000000    -0.0000000     3.97460     0.00000
     4    10    -0.0000000     0.0831924     0.0000000     4.47940     0.00076
     4    11    -0.0000000     0.0000000     0.0000000     4.49020     0.00000
     4    12     0.0000000    -0.0185732    -0.0000000     4.53970     0.00004
     4    13     0.0336666     0.0000000    -0.0000000     5.04450     0.00014
     4    14     0.0000000    -0.0000000     0.1251220     5.07320     0.00195
     4    15     0.1837229     0.0000000     0.0000000     5.26210     0.00435
     4    16    -0.3824108     0.0000000     0.0000000     5.82880     0.02088
     4    17    -0.0000000     0.0000000    -0.0000000     5.98950     0.00000
     4    18    -0.0000000    -0.0000000    -0.0000000     6.12720     0.00000
     4    19     0.0000000     0.0000000     0.0704626     6.47200     0.00079
     4    20     0.0000000    -0.0000000    -0.0000000     6.74020     0.00000
     4    21    -0.0000000     0.2509737     0.0000000     6.74020     0.01040
     4    22    -0.0171720    -0.0000000     0.0000000     6.86540     0.00005
     4    23    -0.0000000    -0.0000000     0.1683837     7.28710     0.00506
     4    24     0.0000000     0.0000000    -0.0000000     7.46130     0.00000
     4    25     0.0000000    -0.0065176    -0.0000000     8.00470     0.00001
     4    26     0.3099253     0.0000000     0.0000000     8.05040     0.01894
     4    27    -0.0000000    -0.0000000     0.0000000     8.17200     0.00000
     4    28    -0.0000000     0.0000000    -0.3384426     8.17710     0.02295
     4    29    -0.1691341     0.0000000    -0.0000000     8.73190     0.00612
     4    30     0.1947689     0.0000000    -0.0000000     8.89030     0.00826
     5     5    -0.0000000    -0.0000000    -9.8906538     0.00000     0.00000
     5     6     0.0000000     0.0000000     0.0000000     2.10840     0.00000
     5     7    -0.0000000    -0.0887559     0.0000000     2.17070     0.00042
     5     8     0.0000000    -0.0000000    -0.9966800     2.62880     0.06398
     5     9     0.0033983     0.0000000    -0.0000000     3.22210     0.00000
     5    10    -0.0000000     0.3073635     0.0000000     3.72690     0.00863
     5    11     0.0000000     0.0000000     0.0000000     3.73770     0.00000
     5    12     0.0000000    -0.0647110    -0.0000000     3.78720     0.00039
     5    13     0.1030797     0.0000000    -0.0000000     4.29200     0.00112
     5    14     0.0000000    -0.0000000     0.4625615     4.32070     0.02265
     5    15    -0.0091574     0.0000000    -0.0000000     4.50960     0.00001
     5    16     0.1898488     0.0000000    -0.0000000     5.07630     0.00448
     5    17     0.0000000    -0.0000000    -0.0000000     5.23700     0.00000
     5    18     0.0000000    -0.0000000    -0.0000000     5.37470     0.00000
     5    19     0.0000000    -0.0000000    -0.1608583     5.71950     0.00363
     5    20    -0.0000000     0.0000000    -0.0000000     5.98770     0.00000
     5    21    -0.0000000     0.7578302     0.0000000     5.98770     0.08425
     5    22    -0.0723788    -0.0000000     0.0000000     6.11290     0.00078
     5    23     0.0000000    -0.0000000    -0.1025159     6.53460     0.00168
     5    24    -0.0000000    -0.0000000    -0.0000000     6.70880     0.00000
     5    25     0.0000000    -0.0137053    -0.0000000     7.25220     0.00003
     5    26     0.0966617     0.0000000    -0.0000000     7.29790     0.00167
     5    27     0.0000000     0.0000000    -0.0000000     7.41950     0.00000
     5    28    -0.0000000     0.0000000    -0.8581028     7.42460     0.13394
     5    29     0.4002000     0.0000000    -0.0000000     7.97940     0.03131
     5    30     0.2004796     0.0000000    -0.0000000     8.13780     0.00801
     6     6    -0.0000000    -0.0000000    -6.2023950     0.00000     0.00000
     6     7    -0.0254019     0.0000000     0.0000000     0.06230     0.00000
     6     8    -0.0000000    -0.0000000    -0.0000000     0.52040     0.00000
     6     9     0.0000000    -2.8311930     0.0000000     1.11370     0.21871
     6    10    -0.5349062     0.0000000     0.0000000     1.61850     0.01135
     6    11    -0.0000000    -0.0000000    -2.3553091     1.62930     0.22144
     6    12    -2.7591279     0.0000000     0.0000000     1.67880     0.31311
     6    13     0.0000000     0.0254171    -0.0000000     2.18360     0.00003
     6    14    -0.0000000    -0.0000000    -0.0000000     2.21230     0.00000
     6    15    -0.0000000    -0.0253279     0.0000000     2.40120     0.00004
     6    16    -0.0000000    -0.0721594     0.0000000     2.96790     0.00038
     6    17     0.0000000     0.0000000     0.0383802     3.12860     0.00011
