 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:    0.000000   -0.000000    0.542789 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000     -0.000000     -0.915263      4.6600      266.06
     2     -0.000000     -0.000000      0.288149      5.0123      247.36
     3      0.000000     -0.000000      1.156744      5.6517      219.38
     4      0.000000      0.000000     -1.024377      5.8425      212.21
     5      0.000000     -0.000000     -1.628090      8.2780      149.78
     6     -0.000000     -0.000000     -1.136091      8.8806      139.61
     7      0.000000      0.000000     -0.900916      9.2710      133.73
     8     -0.000000     -0.000000      0.227572      9.4721      130.89
     9     -0.000000     -0.000000      0.050688     10.0495      123.37
    10      0.000000     -0.000000     -2.841245     10.5529      117.49
    11      0.000000      0.000000      0.743394     12.3489      100.40
    12      0.000000     -0.000000      1.215981     13.6750       90.66
    13      0.000000      0.000000      1.740745     13.8522       89.51
    14      0.000000     -0.000000      2.293847     14.1775       87.45
    15      0.000000      0.000000      1.260448     14.8063       83.74
    16      0.000000     -0.000000      2.441469     14.9812       82.76
    17      0.000000     -0.000000     -0.507937     15.3227       80.92
    18     -0.000000     -0.000000      0.467936     15.5038       79.97
    19      0.000000      0.000000     -0.656451     16.1296       76.87
    20      0.000000     -0.000000      1.798713     16.1621       76.71
    21      0.000000     -0.000000      3.042438     17.2678       71.80
    22      0.000000     -0.000000      0.729733     17.4938       70.87
    23     -0.000000     -0.000000      0.772647     18.1338       68.37
    24      0.000000      0.000000      1.333428     18.1671       68.25
    25     -0.000000     -0.000000      0.618458     18.7829       66.01
    26     -0.000000     -0.000000     -1.265010     18.8330       65.83
    27     -0.000000      0.000000      0.314021     19.1159       64.86
    28     -0.000000     -0.000000      2.157002     19.1802       64.64
    29      0.000000     -0.000000     -1.056716     19.6840       62.99
    30     -0.000000      0.000000     -0.498332     19.7149       62.89
