 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000    0.454643 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.000000     -0.000000     -0.762354      4.8144      257.53
     2     -0.000000     -0.000000      0.329578      5.1413      241.15
     3     -0.000000     -0.000000      0.998307      5.7583      215.31
     4     -0.000000      0.000000     -0.972580      5.9292      209.11
     5     -0.000000     -0.000000     -1.594520      8.1394      152.33
     6      0.000000     -0.000000     -1.274377      8.9905      137.91
     7     -0.000000      0.000000     -0.976647      9.4996      130.52
     8      0.000000      0.000000      0.221520      9.5232      130.19
     9      0.000000     -0.000000     -0.141802     10.1677      121.94
    10     -0.000000     -0.000000     -2.856918     10.8108      114.69
    11     -0.000000      0.000000      0.697944     12.2907      100.88
    12     -0.000000     -0.000000      1.762200     13.9644       88.79
    13     -0.000000     -0.000000      1.353098     13.9756       88.71
    14     -0.000000     -0.000000      2.412782     14.4342       85.90
    15     -0.000000      0.000000      1.361858     15.0311       82.49
    16      0.000000     -0.000000      1.460831     15.1541       81.82
    17      0.000000     -0.000000      0.429518     15.3740       80.65
    18     -0.000000     -0.000000      0.363842     15.4851       80.07
    19      0.000000      0.000000     -0.746829     16.0873       77.07
    20     -0.000000     -0.000000      1.531707     16.1068       76.98
    21     -0.000000     -0.000000      0.782108     17.5016       70.84
    22      0.000000      0.000000      3.105276     17.5120       70.80
    23      0.000000      0.000000      0.694699     18.3079       67.72
    24     -0.000000     -0.000000      1.318133     18.4897       67.06
    25      0.000000     -0.000000     -1.736952     18.6504       66.48
    26      0.000000      0.000000      0.456694     18.7551       66.11
    27      0.000000     -0.000000      0.263566     19.1768       64.65
    28      0.000000     -0.000000      2.358546     19.3424       64.10
    29      0.000000      0.000000     -1.445921     19.6506       63.09
    30      0.000000     -0.000000     -1.015889     19.6642       63.05
