 Ground state dipole moment in X,Y,Z:    0.000000    0.000000    0.441194 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     1.0229263    -0.0000000     4.83750     0.12401
     0     2     0.0000000    -0.0000000    -0.0000000     5.16000     0.00000
     0     3     0.0000000     0.4884984    -0.0000000     5.77510     0.03376
     0     4    -0.0000000    -0.0000000     0.2522734     5.94360     0.00927
     0     5    -0.0000000     0.0000000     0.0000000     8.11900     0.00000
     0     6     0.0000000    -0.6414089    -0.0000000     9.00820     0.09080
     0     7     0.0000000    -1.2926666    -0.0000000     9.53180     0.39022
     0     8    -0.0000000    -0.0000000    -0.1559242     9.53370     0.00568
     0     9    -0.0000000    -0.0000000     0.0000000    10.18720     0.00000
     0    10     0.0000000     0.4153523    -0.0000000    10.84920     0.04586
     0    11    -0.0000000    -0.0000000     0.9355122    12.28350     0.26338
     0    12    -0.0000000    -0.1949358    -0.0000000    13.98270     0.01302
     0    13     0.0000000    -0.0000000     0.2734297    14.00900     0.02566
     0    14     0.0799184     0.0000000     0.0000000    14.46020     0.00226
     0    15     0.0000000    -0.3071504    -0.0000000    15.05380     0.03479
     0    16     0.0000000     0.0000000    -0.0607233    15.16760     0.00137
     0    17     0.0000000     0.0000000    -0.1374000    15.37890     0.00711
     0    18    -0.5433405     0.0000000     0.0000000    15.47890     0.11195
     0    19    -0.0000000    -0.1543241     0.0000000    16.07910     0.00938
     0    20     0.0000000     0.0000000    -0.5618679    16.09630     0.12450
     0    21    -0.5805258     0.0000000    -0.0000000    17.48710     0.14438
     0    22     0.0000000    -0.0000000    -0.2055710    17.53650     0.01816
     0    23    -0.0000000    -0.0000000     0.4211111    18.32370     0.07961
     0    24    -0.0000000    -0.3239644    -0.0000000    18.52630     0.04764
     0    25     0.3595887     0.0000000     0.0000000    18.61950     0.05898
     0    26     0.0000000     0.0000000     0.1331847    18.74770     0.00815
     0    27     0.0000000    -0.2086402    -0.0000000    19.18550     0.02046
     0    28     0.0623199     0.0000000     0.0000000    19.35560     0.00184
     0    29     0.0000000     0.0000000     0.0000000    19.62930     0.00000
     0    30     0.1384695     0.0000000    -0.0000000    19.63140     0.00922
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000    -0.0000000     7.2361068     0.00000     0.00000
     1     2     2.8579045    -0.0000000    -0.0000000     0.32250     0.06453
     1     3     0.0000000    -0.0000000     2.9035247     0.93760     0.19365
     1     4     0.0000000     3.0810817     0.0000000     1.10610     0.25725
     1     5     1.1186656    -0.0000000     0.0000000     3.28150     0.10061
     1     6    -0.0000000     0.0000000     0.5493211     4.17070     0.03083
     1     7     0.0000000    -0.0000000    -0.4489072     4.69430     0.02318
     1     8    -0.0000000    -0.5942042    -0.0000000     4.69620     0.04062
     1     9    -0.8724796     0.0000000    -0.0000000     5.34970     0.09977
     1    10    -0.0000000    -0.0000000    -0.1457032     6.01170     0.00313
     1    11     0.0000000     0.0237469    -0.0000000     7.44600     0.00010
     1    12    -0.0000000    -0.0000000    -0.6235592     9.14520     0.08712
     1    13    -0.0000000    -0.5948855    -0.0000000     9.17150     0.07952
     1    14    -0.0000000    -0.0000000     0.0000000     9.62270     0.00000
     1    15    -0.0000000    -0.0000000    -0.0314198    10.21630     0.00025
     1    16    -0.0000000     0.6051923     0.0000000    10.33010     0.09269
     1    17    -0.0000000     0.6537713     0.0000000    10.54140     0.11038
     1    18    -0.0000000     0.0000000     0.0000000    10.64140     0.00000
     1    19     0.0000000     0.0000000     0.0315939    11.24160     0.00027
     1    20    -0.0000000     0.0444166     0.0000000    11.25880     0.00054
     1    21     0.0000000     0.0000000     0.0000000    12.64960     0.00000
     1    22     0.0000000    -0.0342519    -0.0000000    12.69900     0.00037
     1    23    -0.0000000     0.0124037    -0.0000000    13.48620     0.00005
     1    24     0.0000000    -0.0000000     0.0004201    13.68880     0.00000
     1    25     0.0000000    -0.0000000    -0.0000000    13.78200     0.00000
     1    26    -0.0000000     0.0252088     0.0000000    13.91020     0.00022
     1    27     0.0000000     0.0000000     0.0211282    14.34800     0.00016
     1    28     0.0000000    -0.0000000    -0.0000000    14.51810     0.00000
     1    29    -0.4729762     0.0000000    -0.0000000    14.79180     0.08107
     1    30    -0.0000000    -0.0000000    -0.0000000    14.79390     0.00000
     2     2    -0.0000000     0.0000000     8.3105111     0.00000     0.00000
     2     3     0.4122642     0.0000000    -0.0000000     0.61510     0.00256
     2     4    -0.0000000    -0.0000000     0.0000000     0.78360     0.00000
     2     5     0.0000000    -0.0000000    -0.8402296     2.95900     0.05118
     2     6     1.7970129     0.0000000     0.0000000     3.84820     0.30445
     2     7     0.8624362    -0.0000000    -0.0000000     4.37180     0.07967
     2     8    -0.0000000     0.0000000     0.0000000     4.37370     0.00000
     2     9    -0.0000000     0.0000000    -0.9139610     5.02720     0.10288
     2    10     0.7262400    -0.0000000    -0.0000000     5.68920     0.07351
     2    11    -0.0000000    -0.0000000    -0.0000000     7.12350     0.00000
     2    12     0.2544669     0.0000000    -0.0000000     8.82270     0.01400
     2    13     0.0000000     0.0000000    -0.0000000     8.84900     0.00000
     2    14    -0.0000000    -0.5514686    -0.0000000     9.30020     0.06929
     2    15     0.0651151     0.0000000    -0.0000000     9.89380     0.00103
     2    16     0.0000000     0.0000000     0.0000000    10.00760     0.00000
     2    17     0.0000000     0.0000000     0.0000000    10.21890     0.00000
     2    18     0.0000000     1.0027518     0.0000000    10.31890     0.25420
     2    19    -0.1150716    -0.0000000     0.0000000    10.91910     0.00354
     2    20     0.0000000     0.0000000     0.0000000    10.93630     0.00000
     2    21     0.0000000     0.0950259     0.0000000    12.32710     0.00273
     2    22    -0.0000000     0.0000000    -0.0000000    12.37650     0.00000
     2    23    -0.0000000    -0.0000000    -0.0000000    13.16370     0.00000
     2    24    -0.0233529    -0.0000000    -0.0000000    13.36630     0.00018
     2    25    -0.0000000    -0.0787936    -0.0000000    13.45950     0.00205
     2    26     0.0000000     0.0000000     0.0000000    13.58770     0.00000
     2    27    -0.6049052    -0.0000000     0.0000000    14.02550     0.12573
     2    28    -0.0000000    -0.0156567    -0.0000000    14.19560     0.00009
     2    29     0.0000000    -0.0000000     0.7838024    14.46930     0.21778
     2    30     0.0000000     0.0263870     0.0000000    14.47140     0.00025
     3     3    -0.0000000     0.0000000     8.9500322     0.00000     0.00000
     3     4     0.0000000    -0.4021621    -0.0000000     0.16850     0.00067
     3     5    -0.9395086     0.0000000    -0.0000000     2.34390     0.05069
     3     6     0.0000000    -0.0000000    -1.3225599     3.23310     0.13855
     3     7     0.0000000    -0.0000000     1.7820207     3.75670     0.29227
     3     8    -0.0000000    -1.4079649    -0.0000000     3.75860     0.18254
     3     9    -1.2015255     0.0000000     0.0000000     4.41210     0.15605
     3    10    -0.0000000    -0.0000000    -0.0766647     5.07410     0.00073
     3    11     0.0000000     1.3572850    -0.0000000     6.50840     0.29375
     3    12    -0.0000000     0.0000000    -0.5189993     8.20760     0.05416
     3    13    -0.0000000    -0.0931095     0.0000000     8.23390     0.00175
     3    14     0.0000000     0.0000000    -0.0000000     8.68510     0.00000
     3    15    -0.0000000     0.0000000    -0.0445863     9.27870     0.00045
     3    16     0.0000000    -0.4905000    -0.0000000     9.39250     0.05536
     3    17    -0.0000000     0.0537437     0.0000000     9.60380     0.00068
     3    18    -0.0000000    -0.0000000     0.0000000     9.70380     0.00000
     3    19     0.0000000    -0.0000000     0.0200292    10.30400     0.00010
     3    20    -0.0000000     0.9097442     0.0000000    10.32120     0.20928
     3    21    -0.0000000    -0.0000000    -0.0000000    11.71200     0.00000
     3    22    -0.0000000    -0.0175249    -0.0000000    11.76140     0.00009
     3    23    -0.0000000    -0.0240363     0.0000000    12.54860     0.00018
     3    24    -0.0000000    -0.0000000     0.0152320    12.75120     0.00007
     3    25     0.0000000     0.0000000    -0.0000000    12.84440     0.00000
     3    26     0.0000000     0.0812647     0.0000000    12.97260     0.00210
     3    27     0.0000000    -0.0000000     0.2409078    13.41040     0.01907
     3    28     0.0000000     0.0000000     0.0000000    13.58050     0.00000
     3    29     0.8220494    -0.0000000    -0.0000000    13.85420     0.22937
     3    30     0.0000000     0.0000000     0.0000000    13.85630     0.00000
     4     4     0.0000000     0.0000000     7.0102348     0.00000     0.00000
     4     5     0.0000000    -0.0000000    -0.0000000     2.17540     0.00000
     4     6     0.0000000    -0.0871004    -0.0000000     3.06460     0.00057
     4     7     0.0000000     0.0016307    -0.0000000     3.58820     0.00000
     4     8     0.0000000    -0.0000000    -1.5242069     3.59010     0.20434
     4     9    -0.0000000    -0.0000000    -0.0000000     4.24360     0.00000
     4    10     0.0000000     1.4847784    -0.0000000     4.90560     0.26496
     4    11     0.0000000    -0.0000000     0.8696016     6.33990     0.11746
     4    12     0.0000000    -0.3937731    -0.0000000     8.03910     0.03054
     4    13     0.0000000     0.0000000    -0.0627511     8.06540     0.00078
     4    14     0.0180849    -0.0000000     0.0000000     8.51660     0.00007
     4    15     0.0000000    -0.5886163    -0.0000000     9.11020     0.07733
     4    16     0.0000000     0.0000000     0.0050586     9.22400     0.00001
     4    17    -0.0000000     0.0000000    -0.1335315     9.43530     0.00412
     4    18     0.0283355    -0.0000000    -0.0000000     9.53530     0.00019
     4    19    -0.0000000     1.1514399     0.0000000    10.13550     0.32922
     4    20    -0.0000000     0.0000000    -0.0337867    10.15270     0.00028
     4    21     0.0347571    -0.0000000     0.0000000    11.54350     0.00034
     4    22    -0.0000000     0.0000000    -0.0169206    11.59290     0.00008
     4    23     0.0000000    -0.0000000    -0.0993029    12.38010     0.00299
     4    24    -0.0000000     0.0157347    -0.0000000    12.58270     0.00008
     4    25    -0.0092566    -0.0000000    -0.0000000    12.67590     0.00003
     4    26    -0.0000000    -0.0000000     0.1238754    12.80410     0.00481
     4    27    -0.0000000     0.4166185     0.0000000    13.24190     0.05631
     4    28     0.0112155    -0.0000000    -0.0000000    13.41200     0.00004
     4    29    -0.0000000    -0.0000000    -0.0000000    13.68570     0.00000
     4    30    -0.0069182     0.0000000     0.0000000    13.68780     0.00002
     5     5     0.0000000     0.0000000     6.3865095     0.00000     0.00000
     5     6     0.2658343    -0.0000000    -0.0000000     0.88920     0.00154
     5     7     0.2799895     0.0000000    -0.0000000     1.41280     0.00271
     5     8     0.0000000     0.0000000     0.0000000     1.41470     0.00000
     5     9     0.0000000     0.0000000    -0.8371601     2.06820     0.03551
     5    10    -0.2867618     0.0000000    -0.0000000     2.73020     0.00550
     5    11    -0.0000000     0.0000000     0.0000000     4.16450     0.00000
     5    12    -0.0329137    -0.0000000     0.0000000     5.86370     0.00016
     5    13     0.0000000    -0.0000000     0.0000000     5.89000     0.00000
     5    14    -0.0000000    -0.0348318    -0.0000000     6.34120     0.00019
     5    15     0.0152439     0.0000000     0.0000000     6.93480     0.00004
     5    16    -0.0000000     0.0000000    -0.0000000     7.04860     0.00000
     5    17     0.0000000    -0.0000000    -0.0000000     7.25990     0.00000
     5    18    -0.0000000     0.0799152     0.0000000     7.35990     0.00115
     5    19    -0.0946921     0.0000000    -0.0000000     7.96010     0.00175
     5    20     0.0000000    -0.0000000    -0.0000000     7.97730     0.00000
     5    21     0.0000000    -0.3122637    -0.0000000     9.36810     0.02238
     5    22     0.0000000    -0.0000000    -0.0000000     9.41750     0.00000
     5    23    -0.0000000     0.0000000    -0.0000000    10.20470     0.00000
     5    24    -0.0384779     0.0000000     0.0000000    10.40730     0.00038
     5    25     0.0000000     1.0776799     0.0000000    10.50050     0.29878
     5    26    -0.0000000     0.0000000     0.0000000    10.62870     0.00000
     5    27    -0.7066514     0.0000000     0.0000000    11.06650     0.13539
     5    28     0.0000000     0.1482568     0.0000000    11.23660     0.00605
     5    29    -0.0000000     0.0000000     0.3403204    11.51030     0.03266
     5    30    -0.0000000    -0.1012235    -0.0000000    11.51240     0.00289
     6     6    -0.0000000     0.0000000     6.6855517     0.00000     0.00000
     6     7     0.0000000     0.0000000     1.5708620     0.52360     0.03165
     6     8    -0.0000000     0.0590886     0.0000000     0.52550     0.00004
     6     9    -0.0470004    -0.0000000     0.0000000     1.17900     0.00006
     6    10     0.0000000     0.0000000    -0.2928407     1.84100     0.00387
     6    11     0.0000000    -0.8956276     0.0000000     3.27530     0.06437
     6    12    -0.0000000     0.0000000    -0.0929255     4.97450     0.00105
     6    13    -0.0000000     0.0327744    -0.0000000     5.00080     0.00013
     6    14     0.0000000     0.0000000     0.0000000     5.45200     0.00000
     6    15    -0.0000000     0.0000000     0.0030488     6.04560     0.00000
     6    16     0.0000000     0.0422802     0.0000000     6.15940     0.00027
     6    17    -0.0000000     0.1747455    -0.0000000     6.37070     0.00477
     6    18     0.0000000    -0.0000000    -0.0000000     6.47070     0.00000
     6    19     0.0000000    -0.0000000    -0.0106374     7.07090     0.00002
     6    20    -0.0000000     0.0643523    -0.0000000     7.08810     0.00072
     6    21    -0.0000000    -0.0000000    -0.0000000     8.47890     0.00000
     6    22    -0.0000000    -0.3992977    -0.0000000     8.52830     0.03331
     6    23     0.0000000     0.4709522     0.0000000     9.31550     0.05062
     6    24     0.0000000     0.0000000     0.0210497     9.51810     0.00010
     6    25    -0.0000000    -0.0000000     0.0000000     9.61130     0.00000
     6    26     0.0000000     0.8038977     0.0000000     9.73950     0.15420
     6    27     0.0000000     0.0000000     0.0297925    10.17730     0.00022
     6    28    -0.0000000     0.0000000     0.0000000    10.34740     0.00000
     6    29     0.2435167    -0.0000000     0.0000000    10.62110     0.01543
     6    30     0.0000000     0.0000000     0.0000000    10.62320     0.00000
     7     7     0.0000000     0.0000000     8.1918870     0.00000     0.00000
     7     8    -0.0000000    -0.8215532     0.0000000     0.00190     0.00003
     7     9    -1.0785919    -0.0000000     0.0000000     0.65540     0.01868
     7    10    -0.0000000     0.0000000    -0.0703531     1.31740     0.00016
     7    11     0.0000000    -1.6472367    -0.0000000     2.75170     0.18292
     7    12    -0.0000000     0.0000000    -0.8556959     4.45090     0.07984
     7    13    -0.0000000     0.0281591     0.0000000     4.47720     0.00009
     7    14     0.0000000     0.0000000    -0.0000000     4.92840     0.00000
     7    15     0.0000000     0.0000000    -0.0464382     5.52200     0.00029
     7    16     0.0000000     0.0826514     0.0000000     5.63580     0.00094
     7    17     0.0000000     0.3076878     0.0000000     5.84710     0.01356
     7    18    -0.0000000    -0.0000000    -0.0000000     5.94710     0.00000
     7    19    -0.0000000    -0.0000000    -0.0347460     6.54730     0.00019
     7    20     0.0000000     0.1504630     0.0000000     6.56450     0.00364
     7    21    -0.0000000    -0.0000000    -0.0000000     7.95530     0.00000
     7    22    -0.0000000    -0.2364945     0.0000000     8.00470     0.01097
     7    23     0.0000000    -0.2187674     0.0000000     8.79190     0.01031
     7    24    -0.0000000     0.0000000     0.0331240     8.99450     0.00024
     7    25     0.0000000     0.0000000     0.0000000     9.08770     0.00000
     7    26    -0.0000000     0.4177432     0.0000000     9.21590     0.03940
     7    27    -0.0000000    -0.0000000    -0.1239291     9.65370     0.00363
     7    28    -0.0000000     0.0000000     0.0000000     9.82380     0.00000
     7    29    -0.6388724     0.0000000     0.0000000    10.09750     0.10097
     7    30    -0.0000000     0.0000000     0.0000000    10.09960     0.00000
     8     8     0.0000000     0.0000000     6.9879597     0.00000     0.00000
     8     9    -0.0000000     0.0000000    -0.0000000     0.65350     0.00000
     8    10    -0.0000000    -2.0457146     0.0000000     1.31550     0.13488
     8    11    -0.0000000     0.0000000    -0.3429216     2.74980     0.00792
     8    12    -0.0000000     0.6191033    -0.0000000     4.44900     0.04178
     8    13    -0.0000000    -0.0000000     0.0308622     4.47530     0.00010
     8    14    -0.0071824     0.0000000     0.0000000     4.92650     0.00001
     8    15    -0.0000000     0.0110865    -0.0000000     5.52010     0.00002
     8    16     0.0000000    -0.0000000    -0.0089404     5.63390     0.00001
     8    17    -0.0000000    -0.0000000     0.0998789     5.84520     0.00143
     8    18    -0.0411788     0.0000000     0.0000000     5.94520     0.00025
     8    19    -0.0000000    -0.1367006    -0.0000000     6.54540     0.00300
     8    20    -0.0000000    -0.0000000    -0.0005133     6.56260     0.00000
     8    21    -0.0230141     0.0000000     0.0000000     7.95340     0.00010
     8    22     0.0000000    -0.0000000    -0.0036808     8.00280     0.00000
     8    23    -0.0000000     0.0000000    -0.0046921     8.79000     0.00000
     8    24    -0.0000000    -0.5870606    -0.0000000     8.99260     0.07593
     8    25    -0.0195659     0.0000000    -0.0000000     9.08580     0.00009
     8    26     0.0000000     0.0000000     0.0217698     9.21400     0.00011
     8    27    -0.0000000    -0.6064503    -0.0000000     9.65180     0.08697
     8    28     0.0067000    -0.0000000     0.0000000     9.82190     0.00001
     8    29    -0.0000000    -0.0000000    -0.0000000    10.09560     0.00000
     8    30     0.0116223    -0.0000000     0.0000000    10.09770     0.00003
     9     9     0.0000000     0.0000000     7.8050440     0.00000     0.00000
     9    10    -1.9445635     0.0000000     0.0000000     0.66200     0.06133
     9    11     0.0000000    -0.0000000     0.0000000     2.09630     0.00000
     9    12     0.7327846    -0.0000000    -0.0000000     3.79550     0.04993
     9    13    -0.0000000     0.0000000    -0.0000000     3.82180     0.00000
     9    14     0.0000000    -0.0054103    -0.0000000     4.27300     0.00000
     9    15     0.0000040    -0.0000000     0.0000000     4.86660     0.00000
     9    16    -0.0000000     0.0000000     0.0000000     4.98040     0.00000
     9    17    -0.0000000     0.0000000    -0.0000000     5.19170     0.00000
     9    18    -0.0000000    -0.0171781    -0.0000000     5.29170     0.00004
     9    19     0.0685167     0.0000000    -0.0000000     5.89190     0.00068
     9    20    -0.0000000    -0.0000000    -0.0000000     5.90910     0.00000
     9    21    -0.0000000    -0.1064619    -0.0000000     7.29990     0.00203
     9    22    -0.0000000    -0.0000000    -0.0000000     7.34930     0.00000
     9    23    -0.0000000     0.0000000    -0.0000000     8.13650     0.00000
     9    24     0.0099874     0.0000000    -0.0000000     8.33910     0.00002
     9    25     0.0000000     0.1718493     0.0000000     8.43230     0.00610
     9    26     0.0000000     0.0000000     0.0000000     8.56050     0.00000
     9    27     0.6697333     0.0000000    -0.0000000     8.99830     0.09888
     9    28     0.0000000    -0.4436484    -0.0000000     9.16840     0.04421
     9    29     0.0000000    -0.0000000     0.3671147     9.44210     0.03118
     9    30    -0.0000000    -0.0057713    -0.0000000     9.44420     0.00001
    10    10    -0.0000000    -0.0000000     5.1167322     0.00000     0.00000
    10    11     0.0000000    -0.8209022    -0.0000000     1.43430     0.02368
    10    12     0.0000000     0.0000000    -0.5610932     3.13350     0.02417
    10    13    -0.0000000     0.0029270     0.0000000     3.15980     0.00000
    10    14     0.0000000    -0.0000000    -0.0000000     3.61100     0.00000
    10    15    -0.0000000     0.0000000    -0.0638822     4.20460     0.00042
    10    16    -0.0000000    -0.0189331     0.0000000     4.31840     0.00004
    10    17    -0.0000000     0.0410617     0.0000000     4.52970     0.00019
    10    18    -0.0000000     0.0000000     0.0000000     4.62970     0.00000
    10    19     0.0000000    -0.0000000    -0.0342932     5.22990     0.00015
    10    20    -0.0000000     0.0367382     0.0000000     5.24710     0.00017
    10    21    -0.0000000    -0.0000000    -0.0000000     6.63790     0.00000
    10    22     0.0000000     0.0598451     0.0000000     6.68730     0.00059
    10    23    -0.0000000    -0.0188282     0.0000000     7.47450     0.00006
    10    24    -0.0000000     0.0000000    -0.0255317     7.67710     0.00012
    10    25     0.0000000     0.0000000    -0.0000000     7.77030     0.00000
    10    26    -0.0000000    -0.1428530    -0.0000000     7.89850     0.00395
    10    27     0.0000000    -0.0000000    -0.2237483     8.33630     0.01022
    10    28     0.0000000    -0.0000000     0.0000000     8.50640     0.00000
    10    29    -0.4743413     0.0000000    -0.0000000     8.78010     0.04840
    10    30    -0.0000000    -0.0000000     0.0000000     8.78220     0.00000
    11    11     0.0000000     0.0000000     8.6664498     0.00000     0.00000
    11    12    -0.0000000     0.1486881    -0.0000000     1.69920     0.00092
    11    13     0.0000000     0.0000000    -0.1247488     1.72550     0.00066
    11    14     0.1053870    -0.0000000     0.0000000     2.17670     0.00059
    11    15     0.0000000     0.0886798     0.0000000     2.77030     0.00053
    11    16     0.0000000     0.0000000     0.0081476     2.88410     0.00000
    11    17    -0.0000000    -0.0000000    -0.0852004     3.09540     0.00055
    11    18     0.2754886    -0.0000000    -0.0000000     3.19540     0.00594
    11    19     0.0000000     0.4883066     0.0000000     3.79560     0.02217
    11    20    -0.0000000    -0.0000000     0.2320947     3.81280     0.00503
    11    21     0.2016666    -0.0000000     0.0000000     5.20360     0.00518
    11    22    -0.0000000    -0.0000000     0.0263737     5.25300     0.00009
    11    23     0.0000000    -0.0000000    -0.1947732     6.04020     0.00561
    11    24     0.0000000     0.2182301     0.0000000     6.24280     0.00728
    11    25     0.0115737     0.0000000    -0.0000000     6.33600     0.00002
    11    26    -0.0000000     0.0000000     0.0609251     6.46420     0.00059
    11    27    -0.0000000     1.0311940     0.0000000     6.90200     0.17981
    11    28     0.0499573     0.0000000    -0.0000000     7.07210     0.00043
    11    29     0.0000000    -0.0000000     0.0000000     7.34580     0.00000
    11    30    -0.0086200     0.0000000     0.0000000     7.34790     0.00001
    12    12     0.0000000     0.0000000     9.7399318     0.00000     0.00000
    12    13    -0.0000000    -0.2519313    -0.0000000     0.02630     0.00004
    12    14     0.0000000     0.0000000    -0.0000000     0.47750     0.00000
    12    15     0.0000000     0.0000000     0.0210098     1.07110     0.00001
    12    16     0.0000000     0.0700212     0.0000000     1.18490     0.00014
    12    17     0.0000000     0.0387109    -0.0000000     1.39620     0.00005
    12    18    -0.0000000    -0.0000000     0.0000000     1.49620     0.00000
    12    19    -0.0000000    -0.0000000    -0.0588642     2.09640     0.00018
    12    20     0.0000000    -0.0032780    -0.0000000     2.11360     0.00000
    12    21    -0.0000000     0.0000000     0.0000000     3.50440     0.00000
    12    22    -0.0000000     0.0008774     0.0000000     3.55380     0.00000
    12    23     0.0000000     0.0300469     0.0000000     4.34100     0.00010
    12    24    -0.0000000     0.0000000     0.1499227     4.54360     0.00250
    12    25     0.0000000    -0.0000000    -0.0000000     4.63680     0.00000
    12    26     0.0000000    -0.0193916     0.0000000     4.76500     0.00004
    12    27    -0.0000000    -0.0000000     0.4789785     5.20280     0.02924
    12    28    -0.0000000     0.0000000     0.0000000     5.37290     0.00000
    12    29     0.0510654     0.0000000     0.0000000     5.64660     0.00036
    12    30    -0.0000000    -0.0000000    -0.0000000     5.64870     0.00000
    13    13    -0.0000000    -0.0000000     9.3597037     0.00000     0.00000
    13    14     2.6884143    -0.0000000    -0.0000000     0.45120     0.07990
    13    15     0.0000000     3.0755071     0.0000000     1.04480     0.24212
    13    16     0.0000000    -0.0000000     2.6719723     1.15860     0.20265
    13    17    -0.0000000     0.0000000    -1.1894016     1.36990     0.04748
    13    18    -0.2463039     0.0000000    -0.0000000     1.46990     0.00218
    13    19    -0.0000000    -0.2425984    -0.0000000     2.07010     0.00298
    13    20    -0.0000000     0.0000000    -0.0645279     2.08730     0.00021
    13    21     0.8336483    -0.0000000     0.0000000     3.47810     0.05922
    13    22     0.0000000    -0.0000000     0.1644766     3.52750     0.00234
    13    23     0.0000000    -0.0000000    -0.6046672     4.31470     0.03865
    13    24    -0.0000000    -0.5289776    -0.0000000     4.51730     0.03097
    13    25    -0.0677505    -0.0000000    -0.0000000     4.61050     0.00052
    13    26    -0.0000000     0.0000000     0.1235795     4.73870     0.00177
    13    27     0.0000000     0.0737614     0.0000000     5.17650     0.00069
    13    28    -0.9686162     0.0000000    -0.0000000     5.34660     0.12290
    13    29    -0.0000000     0.0000000    -0.0000000     5.62030     0.00000
    13    30     0.3258359    -0.0000000     0.0000000     5.62240     0.01462
    14    14    -0.0000000     0.0000000    10.4157005     0.00000     0.00000
    14    15    -0.0000000    -0.0000000     0.0000000     0.59360     0.00000
    14    16     0.2273989     0.0000000    -0.0000000     0.70740     0.00090
    14    17    -0.1153567    -0.0000000     0.0000000     0.91870     0.00030
    14    18    -0.0000000     0.0000000     0.7798495     1.01870     0.01518
    14    19    -0.0000000     0.0000000    -0.0000000     1.61890     0.00000
    14    20     0.0069588    -0.0000000    -0.0000000     1.63610     0.00000
    14    21     0.0000000     0.0000000    -0.9783896     3.02690     0.07099
    14    22     2.1388359    -0.0000000     0.0000000     3.07630     0.34478
    14    23    -0.4232931    -0.0000000    -0.0000000     3.86350     0.01696
    14    24    -0.0000000     0.0000000     0.0000000     4.06610     0.00000
    14    25    -0.0000000     0.0000000     0.3541121     4.15930     0.01278
    14    26    -0.0151386     0.0000000     0.0000000     4.28750     0.00002
    14    27     0.0000000    -0.0000000     0.0000000     4.72530     0.00000
    14    28     0.0000000     0.0000000    -0.8536624     4.89540     0.08740
    14    29    -0.0000000    -0.0057745    -0.0000000     5.16910     0.00000
    14    30    -0.0000000     0.0000000     0.0957578     5.17120     0.00116
    15    15     0.0000000     0.0000000     9.3609522     0.00000     0.00000
    15    16     0.0000000    -0.1449171    -0.0000000     0.11380     0.00006
    15    17    -0.0000000     0.4245343     0.0000000     0.32510     0.00144
    15    18    -0.0000000     0.0000000     0.0000000     0.42510     0.00000
    15    19    -0.0000000    -0.0000000     0.6770570     1.02530     0.01151
    15    20     0.0000000     0.1109534     0.0000000     1.04250     0.00031
    15    21    -0.0000000    -0.0000000    -0.0000000     2.43330     0.00000
    15    22     0.0000000     0.1674299    -0.0000000     2.48270     0.00171
    15    23    -0.0000000     0.0801558    -0.0000000     3.26990     0.00051
    15    24    -0.0000000    -0.0000000    -1.6291625     3.47250     0.22580
    15    25     0.0000000     0.0000000     0.0000000     3.56570     0.00000
    15    26     0.0000000    -0.0529193     0.0000000     3.69390     0.00025
    15    27    -0.0000000     0.0000000    -0.0027038     4.13170     0.00000
    15    28    -0.0000000    -0.0000000    -0.0000000     4.30180     0.00000
    15    29    -0.0218379     0.0000000     0.0000000     4.57550     0.00005
    15    30     0.0000000     0.0000000     0.0000000     4.57760     0.00000
    16    16    -0.0000000    -0.0000000     9.2622339     0.00000     0.00000
    16    17     0.0000000    -0.0000000    -2.0955778     0.21130     0.02273
    16    18     1.8035848    -0.0000000     0.0000000     0.31130     0.02481
    16    19     0.0000000     1.9939609     0.0000000     0.91150     0.08879
    16    20     0.0000000    -0.0000000     2.2364149     0.92870     0.11380
    16    21    -0.4779467     0.0000000    -0.0000000     2.31950     0.01298
    16    22     0.0000000    -0.0000000     0.2548963     2.36890     0.00377
