 Ground state dipole moment in X,Y,Z:   -0.000000    0.000000    0.268202 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.9472516    -0.0000000     5.13040     0.11278
     0     2     0.0000000     0.0000000     0.0000000     5.37470     0.00000
     0     3     0.0000000     0.4533937     0.0000000     6.00180     0.03023
     0     4    -0.0000000    -0.0000000     0.3496764     6.15300     0.01843
     0     5     0.0000000    -0.0000000     0.0000000     7.87710     0.00000
     0     6     0.0000000    -0.6463371    -0.0000000     9.25200     0.09469
     0     7     0.0000000    -1.2138362    -0.0000000     9.65780     0.34862
     0     8    -0.0000000    -0.0000000    -0.0769105     9.96490     0.00144
     0     9     0.0000000    -0.0000000     0.0000000    10.45690     0.00000
     0    10    -0.0000000     0.3786446     0.0000000    11.32380     0.03978
     0    11    -0.0000000    -0.0000000     0.9363138    12.21760     0.26241
     0    12     0.0000000     0.0000000     0.2022286    14.22990     0.01426
     0    13     0.0000000    -0.1976107     0.0000000    14.23780     0.01362
     0    14    -0.0521121     0.0000000    -0.0000000    14.53850     0.00097
     0    15     0.0000000    -0.3259998    -0.0000000    15.14120     0.03942
     0    16     0.0000000     0.0000000    -0.3015232    15.20490     0.03387
     0    17    -0.0000000    -0.0000000     0.0190917    15.36600     0.00014
     0    18    -0.5585840    -0.0000000     0.0000000    15.44000     0.11803
     0    19     0.0000000    -0.1190669     0.0000000    16.03100     0.00557
     0    20    -0.0000000     0.0000000    -0.5502800    16.03170     0.11893
     0    21     0.4926127     0.0000000     0.0000000    17.05880     0.10142
     0    22    -0.0000000    -0.0000000    -0.0998405    17.63870     0.00431
     0    23     0.2608569     0.0000000    -0.0000000    17.91530     0.02987
     0    24    -0.3965432     0.0000000     0.0000000    18.29030     0.07046
     0    25    -0.0000000    -0.0000000     0.4522520    18.32030     0.09180
     0    26    -0.0000000    -0.0000000    -0.1393842    18.59810     0.00885
     0    27     0.0000000     0.0000000     0.2453265    18.75380     0.02765
     0    28     0.0000000    -0.3426770     0.0000000    18.77570     0.05402
     0    29    -0.0000000     0.0000000    -0.0000000    18.89370     0.00000
     0    30    -0.0000000     0.2787779    -0.0000000    18.89510     0.03598
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000     0.0000000     6.6358045     0.00000     0.00000
     1     2     2.7449091     0.0000000    -0.0000000     0.24430     0.04510
