 Ground state dipole moment in X,Y,Z:    0.000000   -0.000000    0.191914 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.9177515    -0.0000000     5.25780     0.10850
     0     2    -0.0000000     0.0000000     0.0000000     5.45050     0.00000
     0     3     0.0000000     0.4373511     0.0000000     6.10770     0.02862
     0     4     0.0000000     0.0000000     0.3836700     6.25570     0.02256
     0     5     0.0000000    -0.0000000    -0.0000000     7.78700     0.00000
     0     6     0.0000000    -0.6766098     0.0000000     9.36600     0.10505
     0     7     0.0000000    -1.1600566     0.0000000     9.72140     0.32051
     0     8    -0.0000000    -0.0000000    -0.0505877    10.15320     0.00064
     0     9    -0.0000000     0.0000000     0.0000000    10.58270     0.00000
     0    10     0.0000000     0.3707663     0.0000000    11.52440     0.03881
     0    11     0.0000000     0.0000000     0.9322534    12.19990     0.25977
     0    12    -0.0000000    -0.0000000     0.1569879    14.22300     0.00859
     0    13     0.0000000    -0.1987841    -0.0000000    14.35820     0.01390
     0    14    -0.1039363    -0.0000000    -0.0000000    14.43980     0.00382
     0    15     0.0000000    -0.3370812     0.0000000    15.07840     0.04197
     0    16     0.0000000     0.0000000    -0.3777994    15.15520     0.05300
     0    17    -0.0000000    -0.0000000    -0.1194923    15.35240     0.00537
     0    18    -0.5545700    -0.0000000    -0.0000000    15.46890     0.11655
     0    19    -0.0000000    -0.0000000    -0.5140013    16.06280     0.10397
     0    20     0.0000000    -0.0996907     0.0000000    16.06390     0.00391
     0    21     0.4748290    -0.0000000     0.0000000    16.78280     0.09270
     0    22     0.1941287     0.0000000     0.0000000    17.29970     0.01597
     0    23    -0.0000000     0.0000000    -0.0597271    17.58270     0.00154
     0    24     0.0000000     0.0000000     0.3604308    17.94400     0.05711
     0    25    -0.3532644    -0.0000000    -0.0000000    18.10800     0.05536
     0    26     0.0000000     0.0000000    -0.0000000    18.23740     0.00000
     0    27    -0.0000000     0.3113263    -0.0000000    18.32040     0.04350
     0    28    -0.0000000    -0.0000000     0.3049828    18.34880     0.04181
     0    29    -0.3171125    -0.0000000     0.0000000    18.42070     0.04538
     0    30     0.0000000    -0.0000000    -0.0000000    18.51790     0.00000
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000    -0.0000000     6.4019803     0.00000     0.00000
     1     2     2.6655087     0.0000000     0.0000000     0.19270     0.03354
     1     3     0.0000000    -0.0000000     2.9391892     0.84990     0.17988
     1     4    -0.0000000     3.0926862     0.0000000     0.99790     0.23384
     1     5    -1.6026556     0.0000000    -0.0000000     2.52920     0.15916
     1     6    -0.0000000     0.0000000     0.4791993     4.10820     0.02311
     1     7     0.0000000     0.0000000    -0.3680681     4.46360     0.01481
     1     8     0.0000000    -0.5857585     0.0000000     4.89540     0.04115
     1     9    -0.7173610    -0.0000000    -0.0000000     5.32490     0.06713
     1    10     0.0000000     0.0000000    -0.1694162     6.26660     0.00441
     1    11     0.0000000     0.0278735    -0.0000000     6.94210     0.00013
     1    12     0.0000000    -0.2963723     0.0000000     8.96520     0.01929
     1    13    -0.0000000    -0.0000000    -0.6464183     9.10040     0.09316
     1    14    -0.0000000    -0.0000000    -0.0000000     9.18200     0.00000
     1    15     0.0000000     0.0000000    -0.0132389     9.82060     0.00004
     1    16    -0.0000000     0.4630182    -0.0000000     9.89740     0.05198
     1    17     0.0000000     0.8790177     0.0000000    10.09460     0.19109
     1    18    -0.0000000    -0.0000000     0.0000000    10.21110     0.00000
     1    19     0.0000000     0.0377381     0.0000000    10.80500     0.00038
     1    20    -0.0000000     0.0000000     0.0387650    10.80610     0.00040
     1    21    -0.0000000    -0.0000000    -0.0000000    11.52500     0.00000
     1    22     0.0000000    -0.0000000    -0.0000000    12.04190     0.00000
     1    23     0.0000000    -0.0352813     0.0000000    12.32490     0.00038
     1    24    -0.0000000     0.0381216    -0.0000000    12.68620     0.00045
     1    25    -0.0000000    -0.0000000    -0.0000000    12.85020     0.00000
     1    26    -0.0074970     0.0000000    -0.0000000    12.97960     0.00002
     1    27    -0.0000000    -0.0000000    -0.8352925    13.06260     0.22329
     1    28     0.0000000    -0.0065356     0.0000000    13.09100     0.00001
     1    29    -0.0000000    -0.0000000    -0.0000000    13.16290     0.00000
     1    30    -0.0476314     0.0000000    -0.0000000    13.26010     0.00074
     2     2    -0.0000000    -0.0000000     7.0809963     0.00000     0.00000
     2     3     0.2529541    -0.0000000     0.0000000     0.65720     0.00103
     2     4     0.0000000     0.0000000    -0.0000000     0.80520     0.00000
     2     5    -0.0000000    -0.0000000     0.3236182     2.33650     0.00600
     2     6     1.7280375    -0.0000000     0.0000000     3.91550     0.28645
     2     7     0.7269651    -0.0000000    -0.0000000     4.27090     0.05530
     2     8    -0.0000000    -0.0000000     0.0000000     4.70270     0.00000
     2     9    -0.0000000    -0.0000000    -0.9936050     5.13220     0.12413
     2    10     0.7868976     0.0000000    -0.0000000     6.07390     0.09214
     2    11    -0.0000000     0.0000000     0.0000000     6.74940     0.00000
     2    12     0.0000000    -0.0000000    -0.0000000     8.77250     0.00000
     2    13     0.2567535    -0.0000000     0.0000000     8.90770     0.01439
     2    14     0.0000000    -0.1002607    -0.0000000     8.98930     0.00221
     2    15     0.0231704    -0.0000000    -0.0000000     9.62790     0.00013
     2    16    -0.0000000     0.0000000     0.0000000     9.70470     0.00000
     2    17     0.0000000     0.0000000    -0.0000000     9.90190     0.00000
     2    18     0.0000000     1.0990461    -0.0000000    10.01840     0.29648
     2    19     0.0000000     0.0000000    -0.0000000    10.61230     0.00000
     2    20    -0.0829848     0.0000000     0.0000000    10.61340     0.00179
     2    21     0.0000000    -0.0961916     0.0000000    11.33230     0.00257
     2    22     0.0000000     0.0335604    -0.0000000    11.84920     0.00033
     2    23     0.0000000     0.0000000     0.0000000    12.13220     0.00000
     2    24    -0.0000000    -0.0000000    -0.0000000    12.49350     0.00000
     2    25    -0.0000000     0.1253855    -0.0000000    12.65750     0.00488
     2    26     0.0000000     0.0000000    -0.0705049    12.78690     0.00156
     2    27    -0.0308512     0.0000000     0.0000000    12.86990     0.00030
     2    28     0.0000000     0.0000000     0.0000000    12.89830     0.00000
     2    29    -0.0000000     0.0996545     0.0000000    12.97020     0.00316
     2    30     0.0000000     0.0000000    -0.7739075    13.06740     0.19175
     3     3    -0.0000000     0.0000000     7.2153427     0.00000     0.00000
     3     4     0.0000000    -0.5694836     0.0000000     0.14800     0.00118
     3     5     0.7480641    -0.0000000     0.0000000     1.67930     0.02302
     3     6     0.0000000    -0.0000000    -1.2075963     3.25830     0.11641
     3     7    -0.0000000    -0.0000000     1.9167612     3.61370     0.32527
     3     8     0.0000000    -1.4048538     0.0000000     4.04550     0.19561
     3     9    -1.3766802    -0.0000000    -0.0000000     4.47500     0.20779
     3    10    -0.0000000     0.0000000    -0.1253099     5.41670     0.00208
     3    11     0.0000000     1.3374168     0.0000000     6.09220     0.26697
     3    12    -0.0000000    -0.1802848    -0.0000000     8.11530     0.00646
     3    13     0.0000000     0.0000000    -0.5199935     8.25050     0.05466
     3    14    -0.0000000     0.0000000     0.0000000     8.33210     0.00000
     3    15    -0.0000000     0.0000000    -0.0453160     8.97070     0.00045
     3    16     0.0000000    -0.1011195    -0.0000000     9.04750     0.00227
     3    17     0.0000000    -0.2255135    -0.0000000     9.24470     0.01152
     3    18     0.0000000     0.0000000     0.0000000     9.36120     0.00000
     3    19    -0.0000000     0.9875864    -0.0000000     9.95510     0.23788
     3    20     0.0000000     0.0000000     0.0211566     9.95620     0.00011
     3    21     0.0000000     0.0000000     0.0000000    10.67510     0.00000
     3    22    -0.0000000     0.0000000     0.0000000    11.19200     0.00000
     3    23    -0.0000000    -0.0058398     0.0000000    11.47500     0.00001
     3    24     0.0000000     0.0396908    -0.0000000    11.83630     0.00046
     3    25     0.0000000     0.0000000     0.0000000    12.00030     0.00000
     3    26     0.0070174    -0.0000000    -0.0000000    12.12970     0.00001
     3    27     0.0000000    -0.0000000     0.0428859    12.21270     0.00055
     3    28    -0.0000000    -0.0605507     0.0000000    12.24110     0.00110
     3    29     0.0000000    -0.0000000    -0.0000000    12.31300     0.00000
     3    30     0.0649266    -0.0000000    -0.0000000    12.41020     0.00128
     4     4    -0.0000000    -0.0000000     5.8729104     0.00000     0.00000
     4     5     0.0000000     0.0000000    -0.0000000     1.53130     0.00000
     4     6    -0.0000000    -0.1086653    -0.0000000     3.11030     0.00090
     4     7    -0.0000000    -0.1035529     0.0000000     3.46570     0.00091
     4     8     0.0000000    -0.0000000    -1.5917553     3.89750     0.24193
     4     9    -0.0000000    -0.0000000    -0.0000000     4.32700     0.00000
     4    10     0.0000000     1.4495465     0.0000000     5.26870     0.27122
     4    11     0.0000000    -0.0000000     0.8974796     5.94420     0.11730
     4    12    -0.0000000    -0.0000000    -0.1096932     7.96730     0.00235
     4    13    -0.0000000    -0.4119770    -0.0000000     8.10250     0.03369
     4    14     0.0272449     0.0000000     0.0000000     8.18410     0.00015
     4    15    -0.0000000    -0.1223570    -0.0000000     8.82270     0.00324
     4    16     0.0000000    -0.0000000     0.0153036     8.89950     0.00005
     4    17    -0.0000000    -0.0000000    -0.1261945     9.09670     0.00355
     4    18     0.0141419    -0.0000000     0.0000000     9.21320     0.00005
     4    19     0.0000000     0.0000000    -0.0798136     9.80710     0.00153
     4    20     0.0000000     1.2308042    -0.0000000     9.80820     0.36402
     4    21    -0.0320361     0.0000000    -0.0000000    10.52710     0.00026
     4    22    -0.0076380     0.0000000     0.0000000    11.04400     0.00002
     4    23     0.0000000     0.0000000     0.0141783    11.32700     0.00006
     4    24     0.0000000    -0.0000000     0.0529905    11.68830     0.00080
     4    25     0.0084308    -0.0000000    -0.0000000    11.85230     0.00002
     4    26     0.0000000    -0.0000000    -0.0000000    11.98170     0.00000
