 Ground state dipole moment in X,Y,Z:   -0.000000   -0.000000   -0.384425 a.u.

 Transition dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     0     1     0.0000000     0.0000000     0.0000000     5.33020     0.00000
     0     2     0.0000000     0.7063218     0.0000000     6.16580     0.07536
     0     3    -0.0000000     0.3494133    -0.0000000     6.95270     0.02080
     0     4     0.0000000    -0.0000000    -0.5273823     7.09100     0.04832
     0     5     0.0000000    -0.0000000    -0.0000000     7.70570     0.00000
     0     6     0.0000000     1.0428756     0.0000000    10.07760     0.26852
     0     7    -0.0000000     0.2317550    -0.0000000    10.46850     0.01378
     0     8    -0.0000000    -0.0000000     0.0573585    11.46920     0.00092
     0     9    -0.0000000     0.0000000    -0.0000000    11.54750     0.00000
     0    10     0.0000000    -0.0000000    -0.7063261    12.09860     0.14788
     0    11    -0.0486257     0.0000000     0.0000000    12.41770     0.00072
     0    12    -0.0000000    -0.3594947     0.0000000    12.88410     0.04079
     0    13    -0.0000000    -0.0000000    -0.1202423    13.27310     0.00470
     0    14    -0.3469710    -0.0000000     0.0000000    13.52800     0.03990
     0    15    -0.0000000    -0.0000000     0.8881922    13.90260     0.26870
     0    16     0.0000000    -0.3585070    -0.0000000    14.02870     0.04417
     0    17    -0.0000000    -0.0000000     0.0000000    14.04370     0.00000
     0    18    -0.0000000     0.0000000     0.3823231    14.25080     0.05103
     0    19    -0.0000000     0.0000000     0.0000000    14.40380     0.00000
     0    20     0.2133139    -0.0000000    -0.0000000    14.40810     0.01606
     0    21    -0.2517789    -0.0000000     0.0000000    14.75510     0.02292
     0    22     0.0000000    -0.4732446    -0.0000000    15.06620     0.08267
     0    23    -0.0000000    -0.2072885    -0.0000000    15.24610     0.01605
     0    24     0.0000000    -0.0000000    -0.6009879    15.42000     0.13645
     0    25    -0.6305742     0.0000000    -0.0000000    15.66460     0.15260
     0    26    -0.0000000     0.0000000     0.2374563    15.88470     0.02194
     0    27    -0.0000000     0.1776871     0.0000000    15.94190     0.01233
     0    28     0.0000000     0.0000000     0.2123856    16.37430     0.01810
     0    29    -0.0000000     0.0000000     0.0000000    16.58720     0.00000
     0    30    -0.0000000    -0.0000000     0.3319931    16.64210     0.04494
 
 Note: In below output the case of i=j corresponds to electronic contribution to dipole moment of excited state i
 Transition dipole moment between excited states (a.u.):
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     1     1    -0.0000000    -0.0000000     3.7393353     0.00000     0.00000
     1     2    -1.4669147     0.0000000     0.0000000     0.83560     0.04405
     1     3    -0.0595704    -0.0000000    -0.0000000     1.62250     0.00014
     1     4     0.0000000    -0.0000000     0.0000000     1.76080     0.00000
     1     5     0.0000000     0.0000000     0.5513735     2.37550     0.01769
     1     6     1.0735638    -0.0000000     0.0000000     4.74740     0.13405
