 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.678803   -0.657107    0.014986 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.262089     -1.006236     -0.024557      5.0491      245.56
     2     -1.254783      0.474875      0.052938      5.0824      243.95
     3      0.591382      1.574900      0.002808      6.0740      204.12
     4      0.719260     -0.027700     -0.025889      6.6909      185.30
     5     -0.085383     -0.406163     -0.003629      6.9829      177.55
     6      2.773862     -0.752871     -0.111249      7.1966      172.28
     7     -0.549593     -0.716107      0.008510      7.4637      166.12
     8     -0.156900      0.271430      0.004676      7.6113      162.89
     9      0.218513      0.314508      0.001930      7.6870      161.29
    10     -1.175806      0.080306      0.044488      7.8709      157.52
    11      0.444296      0.137328     -0.014701      7.9081      156.78
    12      0.431287      2.020014      0.014533      8.0672      153.69
    13     -0.570337     -2.118975     -0.009414      8.1249      152.60
    14     -2.673838      0.404765      0.102172      8.2818      149.71
    15     -1.175476      0.444058      0.037262      8.5177      145.56
    16     -0.785333     -1.050655      0.024805      8.5181      145.55
    17     -0.128739      0.048792      0.004061      8.6950      142.59
    18      0.818546      0.330504     -0.024669      8.8112      140.71
    19     -2.364827      0.721151      0.090067      8.9164      139.05
    20     -0.400015      0.849733      0.014995      9.0350      137.23
    21     -1.072769      0.761691      0.054744      9.0387      137.17
    22     -1.982163      2.686276      0.124119      9.0836      136.49
    23      2.599103     -0.435425     -0.099234      9.1217      135.92
    24      0.451588     -0.719087     -0.027023      9.1913      134.89
    25     -0.642261     -0.084729      0.028464      9.4302      131.48
    26      0.413798      2.161492      0.013826      9.4416      131.32
    27     -0.842618     -0.315442      0.024375      9.4853      130.71
    28     -0.365597      0.316568      0.018250      9.7425      127.26
    29      1.021380     -0.085014     -0.038111      9.7755      126.83
    30     -1.391102      0.887333      0.064445      9.8328      126.09
    31      0.284276      1.508482      0.012866     10.0167      123.78
    32     -1.620606     -0.506508      0.051247     10.1296      122.40
    33     -2.067232      0.745713      0.107089     10.1513      122.14
    34      0.960269      1.316032     -0.036767     10.1550      122.09
    35     -1.825214      0.097441      0.066970     10.1778      121.82
    36     -2.561359     -0.591351      0.084432     10.2609      120.83
    37     -0.763634      0.605606      0.036964     10.3625      119.65
    38     -0.953193      0.849803      0.045513     10.3996      119.22
    39     -0.890750      1.005286      0.047511     10.4952      118.13
    40     -0.263275     -0.018859      0.007519     10.7020      115.85
    41     -0.925202      0.605605      0.043000     10.7920      114.89
    42     -1.702248      0.897098      0.076214     10.7944      114.86
    43     -0.310236      0.713403      0.010300     10.8309      114.47
    44      0.924689     -0.438493     -0.030819     10.8440      114.33
    45      0.079279      0.793590      0.008944     10.8803      113.95
    46     -0.241894      2.200461      0.040947     10.9584      113.14
    47     -0.340100      0.640063      0.026001     11.0265      112.44
    48     -0.049775      0.854970      0.013924     11.0655      112.05
    49     -0.150369     -0.443980     -0.001187     11.0843      111.86
    50     -0.916043      1.248001      0.050847     11.1089      111.61
    51      0.515390      0.242794     -0.014842     11.2133      110.57
    52     -0.264141      1.023147      0.024556     11.2641      110.07
    53     -0.574877     -1.072730      0.005814     11.2835      109.88
    54     -2.471541      2.616055      0.128170     11.3939      108.82
    55      0.577217     -1.016797     -0.036441     11.4162      108.60
