 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -0.906017   -0.573200    0.025729 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1     -0.370187      0.489386      0.020444      4.7347      261.86
     2     -0.453402     -0.895036      0.004290      4.8088      257.83
     3      1.471295      0.963180     -0.040783      5.8977      210.22
     4      0.111724      0.295332      0.000026      6.4871      191.12
     5      0.001789     -0.100649     -0.001352      6.8139      181.96
     6      2.782541     -0.651300     -0.110774      7.1372      173.72
     7     -1.299438     -0.744689      0.038656      7.3045      169.74
     8     -0.294093      0.426155      0.016736      7.4147      167.21
     9     -0.605870      0.552340      0.028308      7.4949      165.42
    10     -1.959657      1.204918      0.088337      7.7059      160.90
    11     -1.329344      1.074877      0.062960      7.7700      159.57
    12     -0.460290      0.556903      0.024115      7.8076      158.80
    13      1.076253      0.013224     -0.039434      7.9511      155.93
    14     -0.961439     -2.315829      0.004539      7.9931      155.11
    15     -0.534413      0.678121      0.029231      8.3741      148.06
    16     -0.315821     -0.267453      0.007440      8.4561      146.62
    17     -2.015931      0.361459      0.079211      8.5340      145.28
    18     -0.851462      0.869910      0.043404      8.5526      144.97
    19      0.307476      0.310057     -0.007737      8.6917      142.65
    20      0.025650      1.730620      0.022619      8.7398      141.86
    21     -0.097230      0.999447      0.015342      8.7961      140.95
    22      0.722214     -1.446730     -0.045526      9.0094      137.62
    23      2.329581     -0.315047     -0.089515      9.0872      136.44
    24     -0.599025     -0.358096      0.017147      9.1589      135.37
    25     -0.026878     -0.388421     -0.004203      9.2011      134.75
    26      0.170376      2.912803      0.033448      9.2311      134.31
    27     -0.776815      0.265839      0.031722      9.2795      133.61
    28     -0.919438      0.872002      0.045909      9.5981      129.18
    29      0.331907     -0.125552     -0.014109      9.6228      128.84
    30     -1.519689      0.133446      0.057406      9.7129      127.65
    31     -0.626843      1.267193      0.041088      9.7628      127.00
    32     -1.150843     -1.104236      0.027604      9.7692      126.91
    33     -0.565952      1.757261      0.042546      9.8837      125.44
    34     -0.145383      1.947754      0.031852      9.9735      124.31
    35     -1.574177     -0.118012      0.056389     10.0919      122.86
    36      2.350040     -0.673980     -0.094958     10.2096      121.44
    37     -2.031909      0.905499      0.086250     10.2121      121.41
    38     -1.591694     -0.709899      0.048915     10.2760      120.65
    39     -0.008991      1.110021      0.015412     10.4393      118.77
    40      0.340367      0.054969     -0.011319     10.4731      118.38
    41      0.962928      1.385255     -0.016640     10.4957      118.13
    42      1.019563     -0.949941     -0.050279     10.5079      117.99
    43     -2.549903      0.750319      0.105304     10.6836      116.05
    44     -0.363721      4.038473      0.065539     10.6860      116.02
    45     -0.492233      0.906323      0.030137     10.8027      114.77
    46     -1.344366      2.724821      0.085676     10.8686      114.08
    47     -0.210763      0.639111      0.016359     10.8803      113.95
    48     -0.556706      0.854398      0.030881     10.9323      113.41
    49     -0.967016      1.539774      0.056373     10.9712      113.01
