 Note: The dipole moments shown below include both nuclear charge and electronic contributions
 Ground state dipole moment in X,Y,Z:   -1.372717   -0.377998    0.020453 a.u.

 Excited state dipole moments (a.u.):
  State         X             Y             Z        exc.(eV)    exc.(nm)
     1      0.168490      0.446416      0.018450      4.0796      303.91
     2     -2.084741     -0.500228      0.035180      4.9625      249.84
     3      2.219807     -0.277372     -0.080190      5.6493      219.47
     4      0.100354      0.620291      0.031262      6.3349      195.72
     5     -1.184546      0.204959      0.043509      6.7107      184.76
     6     -0.176252      0.832852      0.052073      6.7195      184.51
     7      0.617953     -0.407897     -0.040686      7.1624      173.10
     8     -1.932563     -0.115093      0.043171      7.2516      170.97
     9     -0.457925      0.330801      0.037196      7.3651      168.34
    10      2.260321      1.005389     -0.013485      7.4332      166.80
    11     -2.295838      1.027804      0.127591      7.4866      165.61
    12      0.845579      1.067383      0.031820      7.9019      156.90
    13     -1.428231     -1.621981     -0.045308      7.9456      156.04
    14      0.433512      1.041725      0.042968      8.0222      154.55
    15      0.158152      0.687056      0.030997      8.0269      154.46
    16      1.273080      1.396576      0.037939      8.1748      151.67
    17     -0.511767      0.926869      0.067351      8.2441      150.39
    18     -0.517248     -0.673144     -0.021332      8.3729      148.08
    19     -2.398379      0.542204      0.099415      8.5692      144.69
    20     -1.673208      0.764665      0.088356      8.6328      143.62
    21      1.230500      0.374840     -0.013574      8.6394      143.51
    22      0.948231      0.123130     -0.026328      8.7632      141.48
    23     -0.834986     -1.140523     -0.031679      8.7675      141.41
    24     -1.711958     -0.558155      0.020751      9.0653      136.77
    25     -0.607994      2.485192      0.152734      9.1223      135.91
    26      2.073014     -1.249752     -0.129434      9.1934      134.86
    27     -1.697716      0.166969      0.061962      9.2017      134.74
    28      0.650466      0.971405      0.000957      9.3175      133.07
    29      2.040481      1.301010      0.039953      9.3229      132.99
    30     -0.596681      0.298412      0.033635      9.5038      130.46
    31     -2.598708      1.976066      0.185202      9.5970      129.19
    32     -1.859615      0.161285      0.064145      9.7408      127.28
    33      3.464195      0.014956     -0.104039      9.8681      125.64
    34      1.098826      1.395780      0.044645      9.9475      124.64
    35      0.410242     -0.164229     -0.020591      9.9763      124.28
    36     -1.220167     -0.445039      0.011898     10.0350      123.55
    37     -1.689772      2.836324      0.203308     10.1057      122.69
    38      0.548100     -0.211654     -0.027692     10.1492      122.16
    39     -2.796492      1.425238      0.159910     10.1711      121.90
    40     -2.948510      0.256337      0.101451     10.2772      120.64
    41      0.700649      0.832389      0.024506     10.3318      120.00
    42     -3.577152     -0.238257      0.094127     10.4389      118.77
    43      1.905973      3.346272      0.123960     10.4569      118.57
    44     -1.421859      0.237523      0.057086     10.6148      116.80
    45      0.888626      1.324307      0.043444     10.6157      116.79
    46     -1.437869     -0.035658      0.040834     10.6752      116.14
    47     -0.236001      1.378303      0.080192     10.7249      115.60
    48     -1.643544      0.967716      0.099625     10.8107      114.69
    49      1.451356      0.092521     -0.037830     10.9562      113.16
    50      1.021938      0.537414     -0.003307     11.0359      112.35
    51      0.285111     -0.651764     -0.043312     11.0535      112.17
    52      2.554015     -0.147138     -0.085893     11.0807      111.89
    53      0.367205     -0.335004     -0.027298     11.0977      111.72
    54      0.084429      0.454043      0.024972     11.1526      111.17
    55     -0.959285      1.333227      0.101051     11.1898      110.80
    56      0.625358     -0.206176     -0.029092     11.2649      110.06
    57      2.606624     -0.656516     -0.113960     11.3083      109.64
    58      0.011385     -0.557461     -0.031035     11.4576      108.21
