# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 -0.016315 -0.005625 -0.002110 0.015461 -0.024042
0.020000 -0.065207 -0.022518 -0.008458 0.061804 -0.096035
0.030000 -0.146507 -0.050734 -0.019094 0.138908 -0.215588
0.040000 -0.259942 -0.090364 -0.034101 0.246577 -0.382055
0.050000 -0.405128 -0.141532 -0.053597 0.384542 -0.594541
0.060000 -0.581579 -0.204393 -0.077732 0.552467 -0.851921
0.070000 -0.788708 -0.279131 -0.106689 0.749959 -1.152846
0.080000 -1.025831 -0.365955 -0.140683 0.976576 -1.495770
0.090000 -1.292176 -0.465092 -0.179962 1.231839 -1.878960
0.100000 -1.586883 -0.576788 -0.224804 1.515237 -2.300528
0.110000 -1.909015 -0.701298 -0.275516 1.826245 -2.758445
0.120000 -2.257562 -0.838883 -0.332436 2.164329 -3.250572
0.130000 -2.631449 -0.989806 -0.395924 2.528958 -3.774677
0.140000 -3.029544 -1.154321 -0.466367 2.919608 -4.328464
0.150000 -3.450664 -1.332674 -0.544167 3.335771 -4.909595
0.160000 -3.893585 -1.525092 -0.629742 3.776956 -5.515706
0.170000 -4.357047 -1.731780 -0.723518 4.242685 -6.144434
0.180000 -4.839762 -1.952913 -0.825918 4.732494 -6.793426
0.190000 -5.340426 -2.188632 -0.937358 5.245921 -7.460357
0.200000 -5.857721 -2.439042 -1.058237 5.782495 -8.142938
0.210000 -6.390324 -2.704199 -1.188919 6.341720 -8.838925
0.220000 -6.936913 -2.984119 -1.329730 6.923056 -9.546121
0.230000 -7.496178 -3.278761 -1.480936 7.525898 -10.262379
0.240000 -8.066819 -3.588037 -1.642737 8.149546 -10.985592
0.250000 -8.647559 -3.911802 -1.815243 8.793181 -11.713694
0.260000 -9.237142 -4.249861 -1.998466 9.455831 -12.444646
0.270000 -9.834344 -4.601962 -2.192300 10.136341 -13.176423
0.280000 -10.437973 -4.967804 -2.396506 10.833337 -13.906999
0.290000 -11.046869 -5.347038 -2.610698 11.545195 -14.634329
0.300000 -11.659914 -5.739269 -2.834324 12.270006 -15.356327
0.310000 -12.276025 -6.144063 -3.066662 13.005546 -16.070846
0.320000 -12.894164 -6.560953 -3.306802 13.749250 -16.775658
0.330000 -13.513328 -6.989445 -3.553642 14.498185 -17.468426
0.340000 -14.132557 -7.429025 -3.805887 15.249043 -18.146688
0.350000 -14.750928 -7.879170 -4.062047 15.998124 -18.807835
0.360000 -15.367555 -8.339355 -4.320443 16.741340 -19.449098
0.370000 -15.981585 -8.809063 -4.579220 17.474230 -20.067532
0.380000 -16.592196 -9.287794 -4.836366 18.191975 -20.660010
0.390000 -17.198590 -9.775074 -5.089731 18.889436 -21.223221
0.400000 -17.799992 -10.270463 -5.337055 19.561200 -21.753675
