# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.021751 0.004760 0.002003 -0.013518 0.028506
0.020000 0.086963 0.019060 0.008020 -0.054053 0.113937
0.030000 0.195519 0.042964 0.018078 -0.121550 0.256027
0.040000 0.347221 0.076576 0.032224 -0.215919 0.454339
0.050000 0.541795 0.120041 0.050521 -0.337037 0.708270
0.060000 0.778894 0.173540 0.073051 -0.484754 1.017058
0.070000 1.058097 0.237289 0.099913 -0.658896 1.379791
0.080000 1.378916 0.311538 0.131227 -0.859267 1.795419
0.090000 1.740794 0.396563 0.167126 -1.085661 2.262767
0.100000 2.143116 0.492666 0.207765 -1.337861 2.780546
0.110000 2.585206 0.600172 0.253314 -1.615646 3.347366
0.120000 3.066334 0.719423 0.303960 -1.918796 3.961748
0.130000 3.585722 0.850776 0.359905 -2.247099 4.622139
0.140000 4.142541 0.994600 0.421369 -2.600348 5.326921
0.150000 4.735925 1.151269 0.488584 -2.978351 6.074423
0.160000 5.364965 1.321164 0.561795 -3.380928 6.862934
0.170000 6.028723 1.504667 0.641263 -3.807915 7.690708
0.180000 6.726225 1.702157 0.727256 -4.259163 8.555976
0.190000 7.456473 1.914008 0.820051 -4.734541 9.456956
0.200000 8.218446 2.140588 0.919932 -5.233928 10.391855
0.210000 9.011101 2.382251 1.027188 -5.757219 11.358880
0.220000 9.833381 2.639340 1.142110 -6.304314 12.356244
0.230000 10.684213 2.912180 1.264984 -6.875120 13.382169
0.240000 11.562516 3.201074 1.396092 -7.469540 14.434890
0.250000 12.467202 3.506306 1.535706 -8.087473 15.512663
0.260000 13.397180 3.828132 1.684083 -8.728798 16.613762
0.270000 14.351356 4.166782 1.841459 -9.393372 17.736487
0.280000 15.328639 4.522453 2.008045 -10.081019 18.879160
0.290000 16.327945 4.895311 2.184018 -10.791514 20.040130
0.300000 17.348195 5.285488 2.369518 -11.524579 21.217768
0.310000 18.388322 5.693078 2.564638 -12.279864 22.410469
0.320000 19.447270 6.118140 2.769416 -13.056935 23.616649
0.330000 20.524001 6.560691 2.983832 -13.855258 24.834736
0.340000 21.617491 7.020711 3.207793 -14.674189 26.063176
0.350000 22.726738 7.498143 3.441131 -15.512951 27.300415
0.360000 23.850760 7.992889 3.683593 -16.370622 28.544900
0.370000 24.988599 8.504815 3.934834 -17.246120 29.795070
0.380000 26.139319 9.033753 4.194408 -18.138184 31.049342
0.390000 27.302010 9.579501 4.461768 -19.045364 32.306106
0.400000 28.475790 10.141829 4.736254 -19.966007 33.563714
