# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.100000 1.197821 0.035068 0.110996 -0.261150 1.312908
0.200000 2.328539 0.128559 0.224706 -0.595112 2.570387
0.300000 3.400108 0.267606 0.343429 -0.993814 3.782887
0.400000 4.418709 0.443256 0.468823 -1.451192 4.957821
0.500000 5.389341 0.648890 0.602114 -1.962396 6.100733
0.600000 6.316158 0.879395 0.744214 -2.523383 7.215932
0.700000 7.202682 1.130701 0.895802 -3.130683 8.306862
0.800000 8.051953 1.399486 1.057379 -3.781248 9.376336
0.900000 8.866628 1.682989 1.229307 -4.472361 10.426693
1.000000 9.649054 1.978881 1.411836 -5.201566 11.459903
1.100000 10.401322 2.285175 1.605124 -5.966625 12.477648
1.200000 11.125311 2.600159 1.809259 -6.765482 13.481376
1.300000 11.822720 2.922348 2.024265 -7.596235 14.472342
1.400000 12.495090 3.250445 2.250118 -8.457119 15.451645
1.500000 13.143832 3.583316 2.486754 -9.346489 16.420252
1.600000 13.770239 3.919959 2.734073 -10.262809 17.379016
1.700000 14.375498 4.259492 2.991949 -11.204638 18.328695
1.800000 14.960709 4.601135 3.260232 -12.170624 19.269966
1.900000 15.526888 4.944196 3.538753 -13.159495 20.203434
2.000000 16.074980 5.288061 3.827329 -14.170054 21.129644
2.100000 16.605862 5.632187 4.125765 -15.201174 22.049083
2.200000 17.120355 5.976091 4.433858 -16.251788 22.962195
2.300000 17.619224 6.319342 4.751394 -17.320892 23.869379
2.400000 18.103185 6.661562 5.078159 -18.407535 24.770999
2.500000 18.572909 7.002413 5.413931 -19.510820 25.667386
2.600000 19.029028 7.341596 5.758489 -20.629896 26.558839
2.700000 19.472134 7.678849 6.111609 -21.763959 27.445635
2.800000 19.902785 8.013939 6.473069 -22.912246 28.328024
2.900000 20.321508 8.346662 6.842646 -24.074038 29.206237
3.000000 20.728798 8.676839 7.220121 -25.248648 30.080485
3.100000 21.125124 9.004314 7.605276 -26.435430 30.950963
3.200000 21.510929 9.328952 7.997895 -27.633768 31.817850
3.300000 21.886633 9.650635 8.397766 -28.843078 32.681311
3.400000 22.252633 9.969263 8.804681 -30.062808 33.541497
3.500000 22.609307 10.284751 9.218436 -31.292431 34.398551
3.600000 22.957010 10.597027 9.638831 -32.531450 35.252602
3.700000 23.296082 10.906032 10.065668 -33.779388 36.103770
3.800000 23.626847 11.211718 10.498758 -35.035798 36.952170
3.900000 23.949610 11.514046 10.937911 -36.300251 37.797904
4.000000 24.264663 11.812986 11.382947 -37.572339 38.641069
4.100000 24.572284 12.108519 11.833686 -38.851677 39.481756
4.200000 24.872738 12.400629 12.289956 -40.137897 40.320050
4.300000 25.166276 12.689309 12.751587 -41.430648 41.156029
4.400000 25.453140 12.974557 13.218416 -42.729598 41.989765
4.500000 25.733559 13.256378 13.690282 -44.034430 42.821329
4.600000 26.007753 13.534780 14.167030 -45.344842 43.650785
4.700000 26.275931 13.809775 14.648510 -46.660546 44.478193
4.800000 26.538293 14.081380 15.134574 -47.981270 45.303609
4.900000 26.795031 14.349614 15.625081 -49.306752 46.127088
5.000000 27.046329 14.614501 16.119893 -50.636744 46.948678
5.100000 27.292362 14.876066 16.618875 -51.971008 47.768428
5.200000 27.533297 15.134336 17.121898 -53.309319 48.586382
5.300000 27.769297 15.389342 17.628835 -54.651461 49.402581
5.400000 28.000516 15.641115 18.139564 -55.997229 50.217066
5.500000 28.227101 15.889688 18.653966 -57.346426 51.029873
5.600000 28.449195 16.135095 19.171927 -58.698865 51.841038
5.700000 28.666935 16.377373 19.693334 -60.054368 52.650595
5.800000 28.880451 16.616558 20.218081 -61.412763 53.458576
5.900000 29.089869 16.852686 20.746061 -62.773888 54.265010
6.000000 29.295310 17.085798 21.277173 -64.137586 55.069926
6.100000 29.496891 17.315930 21.811319 -65.503709 55.873351
6.200000 29.694723 17.543122 22.348404 -66.872115 56.675312
6.300000 29.888913 17.767414 22.888334 -68.242667 57.475832
6.400000 30.079566 17.988845 23.431021 -69.615235 58.274935
6.500000 30.266781 18.207456 23.976376 -70.989695 59.072644
6.600000 30.450653 18.423284 24.524317 -72.365928 59.868980
6.700000 30.631277 18.636372 25.074761 -73.743819 60.663963
6.800000 30.808740 18.846758 25.627629 -75.123260 61.457612
6.900000 30.983128 19.054483 26.182844 -76.504146 62.249947
7.000000 31.154524 19.259585 26.740332 -77.886378 63.040985
7.100000 31.323009 19.462103 27.300021 -79.269858 63.830744
7.200000 31.488660 19.662078 27.861840 -80.654497 64.619238
7.300000 31.651550 19.859547 28.425723 -82.040206 65.406485
7.400000 31.811752 20.054549 28.991602 -83.426900 66.192500
7.500000 31.969335 20.247122 29.559415 -84.814498 66.977296
7.600000 32.124366 20.437303 30.129100 -86.202925 67.760888
7.700000 32.276910 20.625130 30.700595 -87.592104 68.543289
7.800000 32.427030 20.810640 31.273844 -88.981966 69.324512
7.900000 32.574787 20.993868 31.848790 -90.372441 70.104570
8.000000 32.720237 21.174851 32.425377 -91.763465 70.883474
8.100000 32.863440 21.353624 33.003554 -93.154975 71.661237
8.200000 33.004448 21.530222 33.583267 -94.546909 72.437868
8.300000 33.143316 21.704680 34.164467 -95.939211 73.213380
8.400000 33.280095 21.877031 34.747106 -97.331824 73.987782
8.500000 33.414834 22.047309 35.331136 -98.724696 74.761084
8.600000 33.547582 22.215548 35.916512 -100.117775 75.533297
8.700000 33.678385 22.381778 36.503189 -101.511012 76.304430
8.800000 33.807289 22.546033 37.091123 -102.904359 77.074492
8.900000 33.934337 22.708344 37.680274 -104.297772 77.843491
9.000000 34.059572 22.868742 38.270599 -105.691206 78.611437
9.100000 34.183036 23.027257 38.862060 -107.084619 79.378338
9.200000 34.304767 23.183920 39.454619 -108.477972 80.144202
9.300000 34.424806 23.338759 40.048237 -109.871226 80.909036
9.400000 34.543189 23.491804 40.642879 -111.264343 81.672849
9.500000 34.659954 23.643084 41.238509 -112.657288 82.435649
9.600000 34.775135 23.792626 41.835094 -114.050025 83.197441
9.700000 34.888767 23.940457 42.432599 -115.442523 83.958234
9.800000 35.000885 24.086606 43.030993 -116.834749 84.718034
9.900000 35.111519 24.231098 43.630244 -118.226672 85.476849
10.000000 35.220701 24.373960 44.230322 -119.618264 86.234684
10.100000 35.328464 24.515217 44.831196 -121.009495 86.991546
10.200000 35.434835 24.654894 45.432839 -122.400339 87.747440
10.300000 35.539844 24.793017 46.035221 -123.790768 88.502375
10.400000 35.643520 24.929610 46.638315 -125.180759 89.256355
10.500000 35.745890 25.064696 47.242096 -126.570287 90.009385
10.600000 35.846981 25.198299 47.846536 -127.959328 90.761473
10.700000 35.946817 25.330442 48.451612 -129.347860 91.512623
10.800000 36.045426 25.461148 49.057297 -130.735861 92.262841
10.900000 36.142831 25.590439 49.663570 -132.123310 93.012132
11.000000 36.239055 25.718337 50.270405 -133.510188 93.760502
11.100000 36.334124 25.844863 50.877781 -134.896475 94.507955
11.200000 36.428059 25.970038 51.485677 -136.282152 95.254496
11.300000 36.520881 26.093883 52.094069 -137.667202 96.000131
11.400000 36.612614 26.216419 52.702939 -139.051608 96.744864
11.500000 36.703278 26.337665 53.312264 -140.435351 97.488701
11.600000 36.792893 26.457640 53.922026 -141.818418 98.231645
11.700000 36.881478 26.576364 54.532206 -143.200793 98.973701
11.800000 36.969055 26.693857 55.142784 -144.582460 99.714874
11.900000 37.055641 26.810135 55.753743 -145.963405 100.455168
12.000000 37.141254 26.925218 56.365064 -147.343615 101.194587
12.100000 37.225914 27.039124 56.976731 -148.723077 101.933136
12.200000 37.309637 27.151869 57.588726 -150.101778 102.670819
12.300000 37.392440 27.263472 58.201033 -151.479705 103.407640
12.400000 37.474341 27.373949 58.813637 -152.856847 104.143603
12.500000 37.555355 27.483316 59.426521 -154.233193 104.878712
12.600000 37.635499 27.591591 60.039670 -155.608732 105.612970
12.700000 37.714787 27.698789 60.653069 -156.983453 106.346383
12.800000 37.793236 27.804925 61.266705 -158.357347 107.078953
12.900000 37.870859 27.910015 61.880563 -159.730402 107.810684
13.000000 37.947672 28.014075 62.494629 -161.102612 108.541580
13.100000 38.023689 28.117120 63.108889 -162.473965 109.271645
13.200000 38.098922 28.219163 63.723332 -163.844454 110.000881
13.300000 38.173386 28.320219 64.337943 -165.214070 110.729294
13.400000 38.247095 28.420303 64.952712 -166.582806 111.456885
13.500000 38.320059 28.519428 65.567625 -167.950654 112.183660
13.600000 38.392293 28.617609 66.182671 -169.317606 112.909620
13.700000 38.463809 28.714857 66.797838 -170.683655 113.634769
13.800000 38.534618 28.811187 67.413114 -172.048795 114.359111
13.900000 38.604732 28.906611 68.028491 -173.413019 115.082649
14.000000 38.674163 29.001142 68.643955 -174.776320 115.805386
14.100000 38.742921 29.094793 69.259498 -176.138694 116.527325
14.200000 38.811019 29.187576 69.875108 -177.500133 117.248469
14.300000 38.878467 29.279502 70.490776 -178.860633 117.968822
14.400000 38.945274 29.370584 71.106492 -180.220188 118.688386
14.500000 39.011452 29.460833 71.722247 -181.578794 119.407165
14.600000 39.077010 29.550261 72.338032 -182.936444 120.125161
14.700000 39.141958 29.638879 72.953837 -184.293135 120.842378
14.800000 39.206307 29.726698 73.569654 -185.648862 121.558818
14.900000 39.270064 29.813728 74.185473 -187.003621 122.274484
15.000000 39.333240 29.899981 74.801288 -188.357408 122.989379
15.100000 39.395844 29.985467 75.417089 -189.710219 123.703506
15.200000 39.457884 30.070196 76.032869 -191.062049 124.416868
15.300000 39.519369 30.154179 76.648620 -192.412897 125.129467
15.400000 39.580308 30.237424 77.264334 -193.762757 125.841307
15.500000 39.640708 30.319943 77.880003 -195.111627 126.552389
15.600000 39.700578 30.401744 78.495621 -196.459504 127.262717
15.700000 39.759926 30.482838 79.111181 -197.806385 127.972293
15.800000 39.818760 30.563233 79.726675 -199.152267 128.681120
15.900000 39.877087 30.642938 80.342096 -200.497147 129.389200
16.000000 39.934915 30.721964 80.957439 -201.841024 130.096536
16.100000 39.992252 30.800317 81.572697 -203.183893 130.803131
16.200000 40.049104 30.878008 82.187863 -204.525754 131.508987
16.300000 40.105478 30.955044 82.802931 -205.866604 132.214106
16.400000 40.161381 31.031434 83.417895 -207.206440 132.918491
16.500000 40.216821 31.107187 84.032750 -208.545262 133.622145
16.600000 40.271803 31.182310 84.647490 -209.883067 134.325070
16.700000 40.326335 31.256812 85.262108 -211.219853 135.027268
16.800000 40.380422 31.330700 85.876600 -212.555619 135.728742
16.900000 40.434072 31.403982 86.490960 -213.890364 136.429493
17.000000 40.487289 31.476666 87.105184 -215.224086 137.129525
17.100000 40.540081 31.548759 87.719265 -216.556783 137.828840
17.200000 40.592453 31.620268 88.333199 -217.888455 138.527440
17.300000 40.644411 31.691202 88.946982 -219.219099 139.225327
17.400000 40.695960 31.761566 89.560607 -220.548717 139.922503
17.500000 40.747107 31.831369 90.174071 -221.877305 140.618972
17.600000 40.797856 31.900616 90.787370 -223.204864 141.314734
17.700000 40.848213 31.969315 91.400498 -224.531393 142.009793
17.800000 40.898184 32.037473 92.013451 -225.856890 142.704150
17.900000 40.947774 32.105096 92.626226 -227.181356 143.397808
18.000000 40.996987 32.172190 93.238817 -228.504789 144.090768
18.100000 41.045828 32.238763 93.851221 -229.827189 144.783033
18.200000 41.094304 32.304819 94.463435 -231.148556 145.474606
18.300000 41.142418 32.370366 95.075453 -232.468889 146.165488
18.400000 41.190175 32.435409 95.687273 -233.788188 146.855680
18.500000 41.237580 32.499955 96.298891 -235.106452 147.545186
18.600000 41.284637 32.564010 96.910302 -236.423682 148.234008
18.700000 41.331352 32.627579 97.521504 -237.739878 148.922146
18.800000 41.377727 32.690667 98.132493 -239.055038 149.609605
18.900000 41.423769 32.753282 98.743266 -240.369164 150.296385
19.000000 41.469480 32.815427 99.353819 -241.682254 150.982488
19.100000 41.514865 32.877110 99.964150 -242.994311 151.667916
19.200000 41.559929 32.938334 100.574254 -244.305332 152.352672
19.300000 41.604675 32.999106 101.184130 -245.615319 153.036758
19.400000 41.649107 33.059430 101.793774 -246.924271 153.720175
19.500000 41.693230 33.119312 102.403183 -248.232190 154.402925
19.600000 41.737046 33.178757 103.012354 -249.539075 155.085010
19.700000 41.780560 33.237770 103.621284 -250.844926 155.766432
19.800000 41.823776 33.296356 104.229971 -252.149744 156.447193
19.900000 41.866697 33.354519 104.838412 -253.453530 157.127296
20.000000 41.909327 33.412264 105.446605 -254.756283 157.806740
