# A0	H_PF	H_EL	H_PH	H_INT	H_DSE
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.010000 0.010052 0.002230 0.001347 -0.007151 0.013627
0.020000 0.040201 0.008923 0.005388 -0.028605 0.054494
0.030000 0.090426 0.020095 0.012134 -0.064361 0.122558
0.040000 0.160691 0.035766 0.021596 -0.114420 0.217749
0.050000 0.250946 0.055969 0.033793 -0.178781 0.339965
0.060000 0.361127 0.080744 0.048749 -0.257446 0.489080
0.070000 0.491156 0.110140 0.066492 -0.350414 0.664938
0.080000 0.640940 0.144215 0.087057 -0.457688 0.867357
0.090000 0.810375 0.183033 0.110483 -0.579268 1.096127
0.100000 0.999339 0.226671 0.136815 -0.715158 1.351011
0.110000 1.207701 0.275208 0.166103 -0.865360 1.631750
0.120000 1.435314 0.328735 0.198403 -1.029879 1.938054
0.130000 1.682017 0.387349 0.233776 -1.208722 2.269614
0.140000 1.947640 0.451153 0.272287 -1.401894 2.626094
0.150000 2.231996 0.520257 0.314007 -1.609406 3.007136
0.160000 2.534887 0.594779 0.359015 -1.831268 3.412361
0.170000 2.856105 0.674840 0.407391 -2.067493 3.841368
0.180000 3.195429 0.760567 0.459222 -2.318098 4.293736
0.190000 3.552623 0.852095 0.514602 -2.583099 4.769026
0.200000 3.927446 0.949558 0.573627 -2.862519 5.266779
0.210000 4.319640 1.053099 0.636399 -3.156379 5.786521
0.220000 4.728942 1.162860 0.703026 -3.464707 6.327763
0.230000 5.155076 1.278988 0.773620 -3.787532 6.889999
0.240000 5.597756 1.401631 0.848295 -4.124884 7.472713
0.250000 6.056688 1.530940 0.927173 -4.476798 8.075373
0.260000 6.531569 1.667063 1.010375 -4.843309 8.697440
0.270000 7.022088 1.810151 1.098030 -5.224455 9.338363
0.280000 7.527926 1.960354 1.190265 -5.620275 9.997583
0.290000 8.048756 2.117818 1.287212 -6.030808 10.674534
0.300000 8.584246 2.282688 1.389005 -6.456091 11.368644
0.310000 9.134055 2.455107 1.495775 -6.896163 12.079336
0.320000 9.697840 2.635212 1.607656 -7.351056 12.806028
0.330000 10.275251 2.823136 1.724781 -7.820803 13.548136
0.340000 10.865932 3.019006 1.847279 -8.305428 14.305074
0.350000 11.469526 3.222944 1.975278 -8.804949 15.076253
0.360000 12.085671 3.435062 2.108900 -9.319377 15.861086
0.370000 12.714004 3.655467 2.248264 -9.848711 16.658985
0.380000 13.354157 3.884256 2.393479 -10.392939 17.469361
0.390000 14.005764 4.121518 2.544649 -10.952032 18.291630
0.400000 14.668456 4.367330 2.701869 -11.525948 19.125205
